Barcode,Name,Category,Cost,Price,Image URL
,"Bunge Non-Dairy Whip Topping 1Ltr. Malaysia","Baking Needs","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/66011d96d918e4890239ed1b_Baking%20Need_M.png"
,"Bunge Non-Dairy Whip Topping 1Ltr. Malaysia","Baking Needs","",690,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a44ed04c1252b7becfe_Bunge-Non-Dairy-Whip-Topping-1Ltr-MY_1_415.webp"
,"Uncle Barns' Bread Crumbs 500gm","Baking Needs","",580,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66652451a44f60e9a9a63026_Uncle-Barns-Bread-Crumbs-500gm_1_415.webp"
,"Uncle Barns' Bread Crumbs 200gm","Baking Needs","",240,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84b2673683244576a914_Uncle-Barns-Bread-Crumbs-200gm_1_415.webp"
,"Foster Clark's Custard Powder 300gm","Baking Needs","",395,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b6115075f231ecc922_Foster-Clarks-Custard-Powder-300gm_1_415.webp"
,"Foster Clark's Baking Powder 225gm","Baking Needs","",360,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b5115075f231ecc912_Foster-Clarks-Baking-Powder-225gm_1_415.webp"
,"Foster Clark's Whipped Topping Mix 72gm","Baking Needs","",295,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66614532245cbc991379361e_Foster-Clarks-Whipped-Topping-Mix-72gm_1_415.webp"
,"Foster Clark's Soda 150gm (Can)","Baking Needs","",275,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b5de605f3fd35f16d60_Foster-Clarks-Soda-150gm-Can_1_415.webp"
,"Foster Clark's Custard Powder 200gm","Baking Needs","",265,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae168b70ee8a4383454a_Foster-Clarks-Custard-Powder-200gm_1_415.webp"
,"Foster Clark's Baking Powder 110gm","Baking Needs","",210,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681783f380e8899e56cc782_Foster-Clarks-Baking-Powder-110gm_1_415.webp"
