Barcode,Name,Category,Cost,Price,Image URL
,"Herman Chilly Mayonnaise 500ml United Arab Emirates","Breakfast","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/660119854744fb420cd6658b_Breakfast_M.png"
,"Herman Chilly Mayonnaise 500ml United Arab Emirates","Breakfast","",530,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a57ed04c1252b7bef3a_Herman-Chilly-Mayonnaise-500ml-AE_1_415.webp"
,"Crown Peanut Butter Chunky 510gm","Breakfast","",850,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a2853a11aefc405c934a_Crown-Peanut-Butter-Chunky-510gm_1_415.webp"
,"Crown Peanut Butter Smooth & Creamy 340gm","Breakfast","",650,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9621d61902ef23078cba_Crown-Peanut-Butter-Smooth-Creamy340gm_1_415.webp"
,"Crown Peanut Butter Chunky 340gm","Breakfast","",650,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a45ed04c1252b7bed1b_Crown-Peanut-Butter-Chunky-340gm_1_415.webp"
,"Dabur Honey 1kg","Breakfast","",81,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9654d61902ef230799d9_Dabur-Honey-1kg_1_415.webp"
,"Dabur Honey 250gm","Breakfast","",31,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa963ad61902ef23078de6_Dabur-Honey-250gm_1_415.webp"
,"Dabur Honey 100gm","Breakfast","",130,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa963ad61902ef23078dea_Dabur-Honey-100gm_1_415.webp"
,"Saffola Honey 500ml","Breakfast","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa970d115075f231ecd030_Saffola-Honey-500ml_1_415.webp"
,"Saffola Honey 250ml","Breakfast","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae7b0e5834e013de550c_Saffola-Honey-250ml_1_415.webp"
,"Kellogg's Corn Flakes Super Saver Pack 875gm","Breakfast","",1290,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931f4e2530624939633c34_Kelloggs-Corn-Flakes-Super-Saver-Pack-875gm_1_415.webp"
,"Kellogg's Oats Rolled Oats 900gm India","Breakfast","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931e2f6f027ae3e24bef6c_Kelloggs-Oats-Rolled-Oats-900gm-India_1_415.webp"
,"Kellogg's Corn Flakes 475gm","Breakfast","",995,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931cff253062493943050f_Kelloggs-Corn-Flakes-475gm_1_415.webp"
,"Kellogg's Corn Flakes Real Almond Honey 300gm","Breakfast","",580,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a4bed04c1252b7bedff_Kelloggs-Corn-Flakes-Real-Almond-Honey-300gm_1_415.webp"
,"Kellogg's Corn Flakes with Real Honey 300gm","Breakfast","",580,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9617d61902ef23078c3d_Kelloggs-Corn-Flakes-with-Real-Honey-300gm_1_415.webp"
,"Kellogg's Chocos Crunchy Bites 390(±)15gm","Breakfast","",580,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931f522530624939633c5b_Kelloggs-Chocos-Crunchy-Bites-39015gm_1_415.webp"
