Barcode,Name,Category,Cost,Price,Image URL
,"ACI Pure Fortified Jeerashail Rice 5kg","Cooking Needs","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/65ffab36933e34c3396525e2_Cooking_M.png"
,"ACI Pure Fortified Jeerashail Rice 5kg","Cooking Needs","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67878aa8733b6682a0da948c_2401920_1_415.webp"
,"Spanisha Healthy & Active Olive Oil 100ml Spain","Cooking Needs","",320,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681358df077212bd74efaab_Spanisha-Heal-Active-Olive-Oil-100ml-ES_1_415.webp"
,"Radhuni Turmeric (Holud) Powder 200gm (Jar)","Cooking Needs","",160,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f8115075f231eccca7_Radhuni-Turmeric-Holud-Powder-200gm-Jar_1_415.webp"
,"ACI Nutrilife Brown Rice 1kg","Cooking Needs","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94fd115075f231ec656d_ACI-Nutrilife-Brown-Rice-1kg_1_415.webp"
,"Pran Turmeric (Holud) Powder 200gm","Cooking Needs","",135,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a1cd870366949a042730_Pran-Turmeric-Holud-Powder-200gm_1_415.webp"
,"Radhuni Turmeric (Holud) Powder 100gm","Cooking Needs","",75,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95bc115075f231ecc96a_Radhuni-Turmeric-Holud-Powder-100gm_1_415.webp"
,"Fresh Turmeric (Holud) Powder 200gm","Cooking Needs","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e3115075f231eccb71_Fresh-Turmeric-Holud-Powder-200gm_1_415.webp"
,"Shwapno White Pepper Powder 30gm (Jar)","Cooking Needs","",149,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960b115075f231eccd8b_Shwapno-White-Pepper-Powder-30gm-Jar_1_415.webp"
,"Shwapno Gol Morich (Black Pepper) 100gm","Cooking Needs","",220,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9603115075f231eccd27_Shwapno-Gol-Morich-Black-Pepper-100gm_1_415.webp"
