Barcode,Name,Category,Cost,Price,Image URL
,"Igloo Container Double Sundae Chocolate 1000ml","Ice-cream","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/6603b2fdae0e9483ca594b4e_Ice%20Cream_M.png"
,"Igloo Container Double Sundae Chocolate 1000ml","Ice-cream","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960cd61902ef23078bc5_Igloo-Container-Double-Sundae-Chocolate-1000ml_1_415.webp"
,"Igloo Container Mango Fresh 1000ml","Ice-cream","",280,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960bd61902ef23078bb9_Igloo-Container-Mango-Fresh-1000ml_1_415.webp"
,"Igloo Doi Ice Cream (Cup) 120ml","Ice-cream","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96bcd61902ef2307b5ab_Igloo-Doi-Ice-Cream-Cup-120ml_1_415.webp"
,"Igloo Premium Mega 82ml","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6683fc399f69bc6485d11cfc_Igloo-Premium-Mega-82ml_1_415.webp"
,"Igloo Premium Macho 82ml","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960ad61902ef23078ba5_Igloo-Premium-Macho-82ml_1_415.webp"
,"Igloo Cone Cornelli Classic 100ml","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960dd61902ef23078bcd_Igloo-Cone-Cornelli-Classic-100ml_1_415.webp"
,"Igloo Stick Chocobar 72ml","Ice-cream","",35,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ae115075f231ecc8c2_Igloo-Stick-Chocobar-72ml_1_415.webp"
,"Igloo Cup Vanilla 100ml","Ice-cream","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa960ad61902ef23078ba9_Igloo-Cup-Vanilla-100ml_1_415.webp"
,"Igloo Stick Shell & Core 62ml","Ice-cream","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9609d61902ef23078b99_Igloo-Stick-Shell-Core-62-ml_1_415.webp"
,"Polar Butterscotch Ice Cream 1Ltr.","Ice-cream","",400,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9766115075f231ecd470_Polar-Butterscotch-Ice-Cream-1L_1_415.webp"
,"Polar Robusto Vanilla Ice Cream 92ml","Ice-cream","",120,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9693d61902ef2307b3bf_Polar-Robusto-Vanilla-Ice-Cream-92ml_1_415.webp"
,"Polar Robusto Chocolate Ice Cream 92ml","Ice-cream","",120,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa969ad61902ef2307b413_Polar-Robusto-Chocolate-Ice-Cream-92ml_1_415.webp"
,"Polar Robusto Salted Caramel 92ml","Ice-cream","",120,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9767115075f231ecd474_Polar-Robusto-Salted-Caramel-92ml_1_415.webp"
,"Polar Doi 110ml (Paper Cup)","Ice-cream","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9667d61902ef2307aa31_Polar-Doi-110ml-Paper-Cup_1_415.webp"
,"Polar Kheer 110ml (Paper Cup)","Ice-cream","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9668d61902ef2307aa87_Polar-Kheer-110ml-Paper-Cup_1_415.webp"
,"Polar Crunchy Ice Cream","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa962cd61902ef23078d3e_Polar-Crunchy-Ice-Cream_1_415.webp"
,"Haiko Ice-cream Powder 160gm Pot","Ice-cream","",95,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/680e5f4f5462ec5a2b78accb_Haiko-Ice-cream-Powder-160gm-Pot_1_415.webp"
,"Igloo Stick Mini Choc 55ml","Ice-cream","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Igloo Starwberry Cheesecake Cup Ice Cream 100(±)20ml","Ice-cream","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Igloo Kheer Malai Cup Ice Cream 100ml","Ice-cream","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Strawberry Ice Cream Cup 100ml","Ice-cream","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Bellissimo Primo Coffe Bar Ice Cream 70ml","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Lemon Lolly Ice Cream 62ml","Ice-cream","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Kheer Malai Ice Cream Cup 120ml","Ice-cream","",75,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Butter Scotch Ice Cream 120ml","Ice-cream","",85,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Ekdom Aam Ice Cream 70ml","Ice-cream","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Shahi Kheer Ice Cream Cup 100ml","Ice-cream","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Chocolate Fudge Ice Cream Cup 120ml","Ice-cream","",85,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Crunchie Bar Ice Cream 82ml","Ice-cream","",45,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Savoy Coffee Ice Cream Cup 120ml","Ice-cream","",85,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
