Barcode,Name,Category,Cost,Price,Image URL
,ACI Pure Fortified Jeerashail Rice 5kg,Rice & Grains,,5,https://d2t8nl1y0ie1km.cloudfront.net/images/65f7ef49115075f231e964e8_Food_M.png
,ACI Pure Fortified Jeerashail Rice 5kg,Rice & Grains,,20,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67878aa8733b6682a0da948c_2401920_1_415.webp
,Egg Loose,Eggs & Dairy,,10.25,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329955503b55855d83ae_Egg-Loose_1_415.webp
,Spanisha Healthy & Active Olive Oil 100ml Spain,Cooking Oil,,320,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681358df077212bd74efaab_Spanisha-Heal-Active-Olive-Oil-100ml-ES_1_415.webp
,Kazi Farm Kitchen Branded Egg (12Pcs Pack),Eggs & Dairy,,190,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377497211595380a8f1b85_KFK-Branded-Egg-12-Pcs-Pack_1_415.webp
,Paragon Brown Egg 12Pcs (12Pcs Pack),Eggs & Dairy,,205,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377496211595380a8f1b81_Paragon-Brown-Egg-12-Pcs-12-Pcs-Pack_1_415.webp
,Purnava Omega 3 enriched Egg (12Pcs Pack),Eggs & Dairy,,280,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377495211595380a8f1b79_Purnava-Omega-3-enriched-Egg12-Pcs-Pack_1_415.webp
,Purnava Vitamin-E Enriched Egg (12Pcs Pack),Eggs & Dairy,,220,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66377496211595380a8f1b7d_Purnava-Vitamin-E-Enriched-Egg-12-Pcs-Pack_1_415.webp
,Herman Chilly Mayonnaise 500ml United Arab Emirates,Sauces & Ketchup,,530,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a57ed04c1252b7bef3a_Herman-Chilly-Mayonnaise-500ml-AE_1_415.webp
,Schweppes Soda Water Can 330(±)10ml,Beverages,,300,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b37e605f3fd35f16c1b_Schweppes-Soda-Water-Can-33010ml_1_415.webp
,Schweppes Tonic Water Can 330(±)10ml,Beverages,,300,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b38e605f3fd35f16c22_Schweppes-Tonic-Water-Can-33010ml_1_415.webp
,Kent Cream of Vegetable Soup 68gm Turkey,Soup & Instant Mix,,170,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a59ed04c1252b7bef6b_Kent-Cream-of-Vegetable-Soup-68g-TR_1_415.webp
,Kent Chicken Noodle Soup 66gm Turkey,Soup & Instant Mix,,170,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a5aed04c1252b7bef79_Kent-Chicken-Noodle-Soup-66g-TR_1_415.webp
,Broiler Chicken Breast Boneless,Meat & Poultry,,561,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98db115075f231ecdb21_Broiler-Chicken-Breast-Boneless_1_415.webp
,Broiler Chicken Breast Regular (With Bone),Meat & Poultry,,477,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6605329a55503b55855d83ba_Broiler-Chicken-Breast-With-Bone-Regular_1_415.webp
,Golda Fresh Local Cultured (30-40 Pcs/kg),Seafood & Fish,,800,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/69072a792728d1e2d64338ae_Golda-Fresh-Local-Cultured-30-40-Pcskg_1_415.webp
,Rupchanda (Pomfret) Fresh Local Captured (8-10 Pcs/kg),Seafood & Fish,,1120,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6665248aa44f60e9a9a63142_Rupchanda-Medium_1_415.webp
,Bata Fresh Local Cultured (18-25 Pcs/kg),Seafood & Fish,,490,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d3115075f231ecda7d_Bata-Captured-Medium-P_1_415.webp
,Bagda Chingri Fresh Local Cultured (55-65 Pcs/kg),Seafood & Fish,,925,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d6115075f231ecdacd_Bagda-Chingri-Medium_1_415.webp
,Baila Fresh Local Captured (10-15 Pcs/kg),Seafood & Fish,,1250,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d7115075f231ecdad5_Baila-Medium_1_415.webp
,Boal Fresh Local Captured (1.2 -2.499 kg),Seafood & Fish,,820,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6790ae18976639d25725509e_Boal-Medium_1_415.webp
,Golda Fresh Local Cultured (10-14 Pcs/kg),Seafood & Fish,,1120,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/660532a055503b55855d83ee_Golda-Premium_1_415.webp
,Gulsha Fresh Local Cultured (55-65 Pcs/kg),Seafood & Fish,,695,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d7115075f231ecdae5_Gulsha-Medium_1_415.webp
,Horina Chingri Fresh Local Cultured,Seafood & Fish,,795,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d8115075f231ecdaf8_Horina-Chingri-Captured-Medium-P_1_415.webp
,Kachki Fresh Local Captured,Seafood & Fish,,420,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d8115075f231ecdafd_Kachki-Captured-P_1_415.webp
,Meni Fresh Local Captured,Seafood & Fish,,650,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6790ae1d976639d25725543d_Meni-Captured-P_1_415.webp
,Sea Poa Fresh Local Captured,Seafood & Fish,,520,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98d9115075f231ecdb0d_Poa-Captured-P_1_415.webp
,Puti Fresh Local Cultured,Seafood & Fish,,290,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98da115075f231ecdb11_Puti-Captured-P_1_415.webp
,Tatkini Fresh Local Cultured,Seafood & Fish,,220,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98db115075f231ecdb1d_Tatkini-Captured-Medium-P_1_415.webp
,Koi Fish Process Cultured (10-12 Pcs/kg),Seafood & Fish,,330,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa98db115075f231ecdb25_Koi-Fish-Process_1_415.webp
