Barcode,Name,Category,Cost,Price,Image URL
,"Bragg Organic Apple Cider Vinegar 946ml United States of America","Sauces & Pickles","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/660119d04744fb420cd688ff_Sauces%20&%20Pickles_M.png"
,"Bragg Organic Apple Cider Vinegar 946ml United States of America","Sauces & Pickles","",1600,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ff115075f231ecccf7_Bragg-Organic-Apple-Cider-Vinegar-946ml-USA_1_415.webp"
,"Pran Jugol Chutney 300gm","Sauces & Pickles","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f8115075f231ecccab_Pran-Jugol-Chutney-300gm_1_415.webp"
,"Pran Mango Pickle 400gm","Sauces & Pickles","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95af115075f231ecc8ca_Pran-Mango-Pickle-400gm_1_415.webp"
,"Pran Boroi Sweet Pickle 350gm","Sauces & Pickles","",180,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95aa115075f231ecc8b2_Pran-Boroi-Sweet-Pickle-350-gm_1_415.webp"
,"Pran Mango Pickle 300gm","Sauces & Pickles","",160,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae108b70ee8a4383450a_Pran-Mango-Pickle-300gm_1_415.webp"
,"Pran White Vinegar 650ml","Sauces & Pickles","",55,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b7115075f231ecc92e_Pran-White-Vinegar-650ml_1_415.webp"
,"Pran White Vinegar 300ml","Sauces & Pickles","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6853e21333549f984edcec1e_Pran-White-Vinegar-300ml_1_415.webp"
,"Ruchi Chalta Pickle 400gm","Sauces & Pickles","",200,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bea414c61225be9c4db_Ruchi-Chalta-Pickle-400gm_1_415.webp"
,"Ruchi Garlic Pickle 200gm","Sauces & Pickles","",165,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ab115075f231ecc8be_Ruchi-Garlic-Pickle-200gm_1_415.webp"
,"ACI Pure Mango Pickle 400gm","Sauces & Pickles","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67b75814e128065031f2518e_ACI-Pure-Mango-Pickle-400gm_1_415.webp"
,"Radhuni Synthetic Vinegar 540ml","Sauces & Pickles","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9600115075f231eccd07_Radhuni-Synthetic-Vinegar-540ml_1_415.webp"
,"Radhuni Kasundi 265(±)20ml","Sauces & Pickles","",65,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95d3115075f231eccaa9_Radhuni-Kasundi-26520ml_1_415.webp"
,"Radhuni Vinegar 280ml","Sauces & Pickles","",45,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ff115075f231ecccfb_Radhuni-Vinegar-280ml_1_415.webp"
,"Pran Tomato Ketchup 1000gm","Sauces & Pickles","",320,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b1115075f231ecc8e2_Pran-Tomato-Ketchup-1000gm_1_415.webp"
,"Pran Hot Tomato Sauce 1000gm","Sauces & Pickles","",320,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95cc115075f231ecca55_Pran-Hot-Tomato-Sauce-1000gm_1_415.webp"
,"Pran Hot Tomato Sauce 500(±50)gm","Sauces & Pickles","",160,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95fb115075f231eccccf_Pran-Hot-Tomato-Sauce-50050gm_1_415.webp"
,"Pran Tomato Ketchup 340gm","Sauces & Pickles","",125,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95b0115075f231ecc8de_Pran-Tomato-Ketchup-340gm_1_415.webp"
,"Pran Hot Tomato Sauce 340gm","Sauces & Pickles","",125,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ce115075f231ecca71_Pran-Hot-Tomato-Sauce340gm_1_415.webp"
,"Ruchi Hot Tomato Sauce 1kg","Sauces & Pickles","",320,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67e23e692f7884c4607ee6b6_Ruchi-Hot-Tomato-Sauce-1kg_1_415.webp"
,"Ruchi Red Chilli Sauce 360gm","Sauces & Pickles","",150,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67e23e652f7884c4607ee084_Ruchi-Red-Chilli-Sauce-360gm_1_415.webp"
,"Ruchi Hot Tomato Sauce 350gm","Sauces & Pickles","",125,"https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp"
,"Ruchi Tomato Ketchup 350gm","Sauces & Pickles","",125,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67e23e662f7884c4607ee45e_Ruchi-Tomato-Ketchup-350gm_1_415.webp"
,"Umami Spring Roll Sauce 300ml","Sauces & Pickles","",275,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95fd115075f231eccce3_Umami-Spring-Roll-Sauce-300ml_1_415.webp"
,"Umami Sweet Chili Sauce 300ml","Sauces & Pickles","",250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95d0115075f231ecca85_Umami-Sweet-Chili-Sauce-300ml_1_415.webp"
,"Umami Chilli Sauce 300ml","Sauces & Pickles","",200,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3fed04c1252b7bec65_Umami-Chilli-Sauce-300ml_1_415.webp"
,"Umami Tomato Ketchup 300ml","Sauces & Pickles","",200,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a40ed04c1252b7bec82_Umami-Tomato-Ketchup-300ml_1_415.webp"
,"MJ's Tomato Ketchup Premium 340gm United Arab Emirates (Glass)","Sauces & Pickles","",190,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75706569b52bd37c1fa8_MJs-Tomato-Ketchup-Premium-340g-AE-Glss_1_415.webp"
,"Shwapno Hot Tomato Sauce 500gm","Sauces & Pickles","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6630b215a56ab33da74c90d3_Shwapno-Hot-Tomato-Sauce-500g_1_415.webp"
,"Saad Hot Tomato Sauce 500gm","Sauces & Pickles","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa961f115075f231ecce77_Saad-Hot-Tomato-Sauce-500gm_1_415.webp"
,"Saad Tomato Sauce 340gm","Sauces & Pickles","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa961e115075f231ecce73_Saad-Tomato-Sauce-340gm_1_415.webp"
,"American Garden BBQ Sauce 510gm","Sauces & Pickles","",645,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95d0115075f231ecca8d_American-Garden-BBQ-Sauce-510gm_1_415.webp"
