Barcode,Name,Category,Cost,Price,Image URL
,"Kent Cream of Vegetable Soup 68gm Turkey","Snacks","",5,"https://d2t8nl1y0ie1km.cloudfront.net/images/66011ac0d918e48902395d58_Snacks_M.png"
,"Kent Cream of Vegetable Soup 68gm Turkey","Snacks","",170,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a59ed04c1252b7bef6b_Kent-Cream-of-Vegetable-Soup-68g-TR_1_415.webp"
,"Kent Chicken Noodle Soup 66gm Turkey","Snacks","",170,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a5aed04c1252b7bef79_Kent-Chicken-Noodle-Soup-66g-TR_1_415.webp"
,"Shwapno Kaju Badam (Cashew Nut) Loose kg","Snacks","",2250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f7115075f231eccc9f_Shwapno-Kaju-Badam-Cashew-Nut-Loose-Kg_1_415.webp"
,"Shwapno Kath Badam (Almond) Loose kg","Snacks","",1765,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95f7115075f231eccc9b_Shwapno-Kath-Badam-Almond-Loose-Kg_1_415.webp"
,"Shwapno Pesta Badam(Pestacio) 100gm","Snacks","",482,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e9115075f231eccbad_Shwapno-Pesta-BadamPestacio-100gm_1_415.webp"
,"Shwapno Pesta Badam (Pestacio) 50gm","Snacks","",259,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e8115075f231eccba9_Shwapno-Pesta-Badam-Pestacio-50gm_1_415.webp"
,"Shwapno Kaju Badam (Cashew Nuts) 100gm","Snacks","",309,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e8115075f231eccba5_Shwapno-Kaju-Badam-Cashew-Nuts-100gm_1_415.webp"
,"Shwapno Kath Badam (Almond) 100gm","Snacks","",246,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e6115075f231eccb91_Shwapno-Kath-Badam-Almond-100gm_1_415.webp"
,"Shwapno Kaju Badam(Cashew Nuts) 50gm","Snacks","",172,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e7115075f231eccba1_Shwapno-Kaju-BadamCashew-Nuts-50gm_1_415.webp"
,"Shwapno Kath Badam (Almond) 50gm","Snacks","",136,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e6115075f231eccb8d_Shwapno-Kath-Badam-Almond-50gm_1_415.webp"
,"Shwapno Kaju Badam(Cashew Nuts) 25gm","Snacks","",105,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84b2673683244576a918_Shwapno-Kaju-BadamCashew-Nuts-25gm_1_415.webp"
,"Shwapno Kath Badam (Almond) 25gm","Snacks","",80,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ee115075f231eccc15_Shwapno-Kath-Badam-Almond-25gm_1_415.webp"
,"Nut Walker Pistachios Dry Roasted Salted 240gm (Tin)","Snacks","",1595,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96d1d61902ef2307b6a7_Nut-Walker-Pistachios-Dry-Roasted-Salted-240gm-Tin_1_415.webp"
,"Nut Walker Cashew Nuts Roasted Salted 250gm (Tin)","Snacks","",1550,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96d1d61902ef2307b6ab_Nut-Walker-Cashew-Nuts-Roasted-Salted-250gm-Tin_1_415.webp"
,"Nut Walker Cashew Nuts Thai Lime & Chili 130gm","Snacks","",725,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa964ad61902ef230791f4_Nut-Walker-Cashew-Nuts-Thai-Lime-Chili-130gm_1_415.webp"
,"Nut Walker Cashew Nuts Roasted Salted 35gm","Snacks","",250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66641681f96348184fde4530_Nut-Walker-Cashew-Nuts-Roasted-Salted-35gm_1_415.webp"
,"Nutcandy Salted Cashew Nuts 35gm (Packet)","Snacks","",240,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9680d61902ef2307b2c7_Nutcandy-Salted-Cashew-Nuts-35gm-Packet_1_415.webp"
,"Fresh Garden Organic Mixed Nuts 380gm China","Snacks","",1195,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9753115075f231ecd394_Fresh-Garden-Organic-Mixed-Nuts-380gm-China_1_415.webp"
,"Sunkist Mixed Nuts Dry Roasted & Light Salted 150gm Thailand","Snacks","",950,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9718115075f231ecd0b0_Sunkist-Mixed-Nuts-Dry-Roasted-Light-Salted-150gm-Thailand_1_415.webp"
,"ACT II Classic Salted 50gm (Buy5 Get1 Free)","Snacks","",150,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68760017157869c4204edf16_ACT-II-Classic-Salted-50gm-Buy5-Get1-Free_1_415.webp"
,"ACT II Butter Flavour Popcorn 33gm","Snacks","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa963dd61902ef23078e0e_ACT-II-Butter-Flavour-Popcorn-33gm_1_415.webp"
,"HUP SENG Cream Crackers 225gm","Snacks","",640,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d757e6569b52bd37c2033_HUP-SENG-Cream-Crackers-225gm_1_415.webp"
,"HUP Seng Cream Crackers 125gm","Snacks","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d3ef2321da2357f5f68_HUP-Seng-Cream-Crackers-125gm_1_415.webp"
,"Julie's Butter Crackers Biscuit 250gm","Snacks","",560,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75906569b52bd37c20b0_Julies-Butter-Crackers-Biscuit-250g_1_415.webp"
,"Julie's Sugar Crackers Biscuit 260gm Malaysia","Snacks","",560,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d4ef2321da2357f5fce_Julies-Sugar-Crackers-Biscuit-260g-MY_1_415.webp"
,"Maggi Healthy Soup Corn With Chicken 25gm","Snacks","",55,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9610d61902ef23078bed_Maggi-Healthy-Soup-Corn-With-Chicken-25gm_1_415.webp"
,"Maggi Healthy Soup Thai 35gm","Snacks","",55,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9615d61902ef23078c25_Maggi-Healthy-Soup-Thai-35gm_1_415.webp"
,"Julie's Oat 25 Strawberry Biscuits 200gm","Snacks","",450,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/684e923e8b3a4ee750d4fa9d_Julies-Oat-25-Strawberry-Biscuits-200gm_1_415.webp"
,"Julie's Oat 25 Chocolate 200gm","Snacks","",450,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d48f2321da2357f5fa5_Julies-Oat-25-Chocolate-200g_1_415.webp"
,"Maggi Healthy Soup Vegetable 25gm","Snacks","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9614d61902ef23078c21_Maggi-Healthy-Soup-Vegetable-25gm_1_415.webp"
,"Julie's Oat 25 Ten Grains Biscuits 200gm","Snacks","",450,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bec414c61225be9c4fd_Julies-Oat-25-TenGrains-Biscuits-200g_1_415.webp"
,"Julie's Peanut Butter Sandwich Biscuit 180gm Malaysia","Snacks","",410,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d4ff2321da2357f5fd2_Julies-P-Butter-Sandwich-Biscuit-180g-MY_1_415.webp"
,"Julie's Puff Sandwich Chedder Cheese Cream 180gm","Snacks","",400,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d47f2321da2357f5f9f_Julies-Puff-Sandwich-C-Cheese-Cream-180g_1_415.webp"
,"Knorr Classic Thai Soup 28gm","Snacks","",55,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67d2e1719b1b113f0bd56bb6_Knorr-Classic-Thai-Soup-28gm_1_415.webp"
