Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260301000000 | 20260301000000 | 2026-03-01 00:00:00 
   20260325110027 | 20260325110027 | 2026-03-25 11:00:27 
   20260326100002 | 20260326100002 | 2026-03-26 10:00:02 
   20260327100000 | 20260327100000 | 2026-03-27 10:00:00 
   20260327200000 | 20260327200000 | 2026-03-27 20:00:00 
   20260327200001 | 20260327200001 | 2026-03-27 20:00:01 
   20260327200002 | 20260327200002 | 2026-03-27 20:00:02 
   20260327200003 | 20260327200003 | 2026-03-27 20:00:03 
   20260327200004 | 20260327200004 | 2026-03-27 20:00:04 
   20260327200005 | 20260327200005 | 2026-03-27 20:00:05 
   20260420000000 | 20260420000000 | 2026-04-20 00:00:00 
   20260420100000 | 20260420100000 | 2026-04-20 10:00:00 
   20260420100001 | 20260420100001 | 2026-04-20 10:00:01 
   20260420200000 | 20260420200000 | 2026-04-20 20:00:00 
   20260420300000 | 20260420300000 | 20260420300000      
   20260420300001 | 20260420300001 | 20260420300001      
   20260420300002 | 20260420300002 | 20260420300002      
   20260423000000 | 20260423000000 | 2026-04-23 00:00:00 
   20260423102252 | 20260423102252 | 2026-04-23 10:22:52 
   20260423103600 | 20260423103600 | 2026-04-23 10:36:00 
   20260423123000 | 20260423123000 | 2026-04-23 12:30:00 
   20260423143000 | 20260423143000 | 2026-04-23 14:30:00 
   20260423153000 | 20260423153000 | 2026-04-23 15:30:00 
   20260423161000 | 20260423161000 | 2026-04-23 16:10:00 
   20260423170000 | 20260423170000 | 2026-04-23 17:00:00 
   20260423175000 | 20260423175000 | 2026-04-23 17:50:00 
   20260423182000 | 20260423182000 | 2026-04-23 18:20:00 
   20260423193000 | 20260423193000 | 2026-04-23 19:30:00 
   20260423195000 | 20260423195000 | 2026-04-23 19:50:00 
   20260423201000 | 20260423201000 | 2026-04-23 20:10:00 
   20260423201500 | 20260423201500 | 2026-04-23 20:15:00 
   20260423204000 | 20260423204000 | 2026-04-23 20:40:00 
   20260423213000 | 20260423213000 | 2026-04-23 21:30:00 
   20260423224500 | 20260423224500 | 2026-04-23 22:45:00 
   20260423230000 | 20260423230000 | 2026-04-23 23:00:00 
   20260423231000 | 20260423231000 | 2026-04-23 23:10:00 
   20260423232000 | 20260423232000 | 2026-04-23 23:20:00 
   20260423233000 | 20260423233000 | 2026-04-23 23:30:00 
   20260423240000 | 20260423240000 | 20260423240000      
   20260425000000 | 20260425000000 | 2026-04-25 00:00:00 
   20260425110000 | 20260425110000 | 2026-04-25 11:00:00 
   20260426213606 | 20260426213606 | 2026-04-26 21:36:06 
   20260426213841 | 20260426213841 | 2026-04-26 21:38:41 
   20260426220001 | 20260426220001 | 2026-04-26 22:00:01 
   20260426231000 | 20260426231000 | 2026-04-26 23:10:00 
   20260426232000 | 20260426232000 | 2026-04-26 23:20:00 
   20260426240001 | 20260426240001 | 20260426240001      
   20260427000000 | 20260427000000 | 2026-04-27 00:00:00 
   20260427000100 | 20260427000100 | 2026-04-27 00:01:00 
   20260427010000 | 20260427010000 | 2026-04-27 01:00:00 
   20260427010001 | 20260427010001 | 2026-04-27 01:00:01 
   20260427064836 | 20260427064836 | 2026-04-27 06:48:36 
   20260427080000 | 20260427080000 | 2026-04-27 08:00:00 
   20260427090000 | 20260427090000 | 2026-04-27 09:00:00 
   20260427200000 | 20260427200000 | 2026-04-27 20:00:00 
   20260427210000 | 20260427210000 | 2026-04-27 21:00:00 
   20260501000000 | 20260501000000 | 2026-05-01 00:00:00 
   20260501090000 | 20260501090000 | 2026-05-01 09:00:00 
   20260505000000 | 20260505000000 | 2026-05-05 00:00:00 
   20260506000000 | 20260506000000 | 2026-05-06 00:00:00 
   20260506000001 | 20260506000001 | 2026-05-06 00:00:01 
   20260506000002 | 20260506000002 | 2026-05-06 00:00:02 
   20260506000003 | 20260506000003 | 2026-05-06 00:00:03 
   20260506000004 | 20260506000004 | 2026-05-06 00:00:04 
   20260506000005 | 20260506000005 | 2026-05-06 00:00:05 
   20260506010000 | 20260506010000 | 2026-05-06 01:00:00 
   20260506020000 | 20260506020000 | 2026-05-06 02:00:00 
   20260506030000 | 20260506030000 | 2026-05-06 03:00:00 
   20260506040000 | 20260506040000 | 2026-05-06 04:00:00 
   20260506040100 | 20260506040100 | 2026-05-06 04:01:00 
   20260507120000 | 20260507120000 | 2026-05-07 12:00:00 
   20260508000000 | 20260508000000 | 2026-05-08 00:00:00 
   20260510120000 | 20260510120000 | 2026-05-10 12:00:00 
   20260510130000 | 20260510130000 | 2026-05-10 13:00:00 
   20260511125509 | 20260511125509 | 2026-05-11 12:55:09 
   20260511125700 | 20260511125700 | 2026-05-11 12:57:00 
   20260511125848 | 20260511125848 | 2026-05-11 12:58:48 
   20260511130244 | 20260511130244 | 2026-05-11 13:02:44 
   20260511130416 | 20260511130416 | 2026-05-11 13:04:16 
   20260511131100 | 20260511131100 | 2026-05-11 13:11:00 
   20260511150000 | 20260511150000 | 2026-05-11 15:00:00 
   20260512000000 | 20260512000000 | 2026-05-12 00:00:00 
   20260512100000 |                | 2026-05-12 10:00:00 
   20260512120000 |                | 2026-05-12 12:00:00 
   20260512130000 |                | 2026-05-12 13:00:00 
   20260512140000 |                | 2026-05-12 14:00:00 
   20260512150000 |                | 2026-05-12 15:00:00 
   20260512160000 |                | 2026-05-12 16:00:00 
   20260514000001 | 20260514000001 | 2026-05-14 00:00:01 
   20260517000000 | 20260517000000 | 2026-05-17 00:00:00 
   20260517114959 |                | 2026-05-17 11:49:59 

