Date,Cash,Bkash,Credit,Total Daily
03/04/2026,,,,0
04/04/2026,6300,,,6300
05/04/2026,,,,0
06/04/2026,6869,,,6869
07/04/2026,3273,,,3273
08/04/2026,4033,,,4033
09/04/2026,4393,,,4393
10/04/2026,6743,4400,,11143
11/04/2026,11588,,,11588
12/04/2026,6313,,,6313
13/04/2026,6153,,,6153
14/04/2026,8242,,,8242
15/04/2026,4998,,,4998
16/04/2026,6385,,,6385
17/04/2026,6657,1100,,7757
18/04/2026,12793,1400,,14193
19/04/2026,7789,,,7789
20/04/2026,8279,,,8279
21/04/2026,4793,,,4793
22/04/2026,,,,0
23/04/2026,,,,0
24/04/2026,,,,0
25/04/2026,,,,0
26/04/2026,,,,0
27/04/2026,,,,0
28/04/2026,,,,0
29/04/2026,,,,0
30/04/2026,,,,0
,,,,
,,,,
,,,,
,,,,
,,,,122501
