Barcode,Name,Category,Cost,Price,Image URL
,"Schweppes Soda Water Can 330(±)10ml","Beverage","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/6624b2fc7a5eb6f6889d93c3_Beverages_M.png"
,"Schweppes Soda Water Can 330(±)10ml","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b37e605f3fd35f16c1b_Schweppes-Soda-Water-Can-33010ml_1_415.webp"
,"Schweppes Tonic Water Can 330(±)10ml","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b38e605f3fd35f16c22_Schweppes-Tonic-Water-Can-33010ml_1_415.webp"
,"Dilmah P.C.Green Tea Ceylon Cinnamon 40gm","Beverage","",715,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668134c9f077212bd74ed94d_Dilmah-P-C-Green-Tea-Ceylon-Cinnamon-40gm_1_415.webp"
,"Horlicks Classic Malt 1000gm (Jar)","Beverage","",850,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67dab501ac5a5cedd1d78d7b_Horlicks-Classic-Malt-1000gm-Jar_1_415.webp"
,"Horlicks Lite 400gm (Jar)","Beverage","",650,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68b574ff7d266676045746a6_Horlicks-Lite-400gm-Jar_1_415.webp"
,"Horlicks Junior Stage-1 500gm (Jar)","Beverage","",550,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68b574f77d266676045745fa_Horlicks-Junior-Stage-1-500gm-Jar_1_415.webp"
,"Horlicks Chocolate 500gm (Jar)","Beverage","",550,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67d2ded49b1b113f0bd20e23_Horlicks-Chocolate-500gm-Jar_1_415.webp"
,"Boost Malt 400gm (Jar)","Beverage","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68b574f17d266676045744df_Boost-Malt-400gm-Jar_1_415.webp"
,"A&W Sarsaparilla Root Beer 325(±)5ml (Can)","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b39e605f3fd35f16c26_AW-Sarsaparilla-Root-Beer-Can-3255ml_1_415.webp"
,"Wild brew 250ml (Can)","Beverage","",75,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668269f1ed04c1252b7be697_Wild-brew-Can-250ml_1_415.webp"
,"Speed 250ml (Can)","Beverage","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9385115075f231ec4ac6_Speed-250ml-Can_1_415.webp"
,"Speed 250ml (Pet)","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9386115075f231ec4aca_Speed-250-ml-Pet_1_415.webp"
,"Tang Powder Drink Orange 750gm (Jar)","Beverage","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931ce82530624939408546_Tang-Powder-Drink-Orange-750gm-Jar_1_415.webp"
,"Tang Powder Drink Mango 750gm (Jar)","Beverage","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931ceb253062493940dc17_Tang-Powder-Drink-Mango-750gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Mango 750gm (Jar)","Beverage","",840,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938d115075f231ec4b2a_Foster-Clarks-Instant-Drink-Mango-750gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Mandarin 750gm (Jar)","Beverage","",840,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5cc067663f5e6472de2_Foster-Clarks-Instant-Drink-Mandarin-750gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Pineapple 750gm (Jar)","Beverage","",840,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5cb067663f5e6472dda_Foster-Clarks-Instant-Drink-Pineapple-750gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Orange 450gm (jar)","Beverage","",530,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938d115075f231ec4b2e_Foster-Clarks-Instant-Drink-Orange-450gm-jar_1_415.webp"
,"Foster Clark's Instant Drink Mango 450gm (Jar)","Beverage","",530,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938e115075f231ec4b32_Foster-Clarks-Instant-Drink-Mango-450gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Pineapple 450gm (Jar)","Beverage","",530,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae058b70ee8a43834496_Foster-Clarks-Instant-Drink-Pineapple-450gm-Jar_1_415.webp"
,"Foster Clark's Instant Drink Mango 250gm","Beverage","",250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae078b70ee8a438344ae_Foster-Clarks-Instant-Drink-Mango-250gm_1_415.webp"
,"Shwapno Isubgul Vushi 200gm (Husk)","Beverage","",554,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93a7115075f231ec4c72_Shwapno-Isubgul-Vushi-200gm-Husk_1_415.webp"
,"Shwapno Isubgul Vushi 100gm","Beverage","",287,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94b9115075f231ec4e1d_Shwapno-Isubgul-Vushi-100gm_1_415.webp"
,"Shwapno Soft Drink Powder Orange 500gm (Jar)","Beverage","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6630b214a56ab33da74c90cf_Shwapno-Instant-Powder-Drink-Orange-500g-Jar_1_415.webp"
,"Shwapno Soft Drink Powder Orange 500gm BIB","Beverage","",280,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6630b214a56ab33da74c90cb_Shwapno-Instant-Powder-Drink-Orange-500g-paper-box_1_415.webp"
,"Shwapno Isubgul Vushi 50gm","Beverage","",159,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94b8115075f231ec4e15_Shwapno-Isubgul-Vushi-50gm_1_415.webp"
,"Shwapno Chia Seed 100gm (Jar)","Beverage","",103,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94b9115075f231ec4e19_Shwapno-Chia-Seed-100gm-Jar_1_415.webp"
,"Haiko Chia Seed 100gm","Beverage","",180,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae780e5834e013de54e0_Haiko-Chia-Seed-100gm_1_415.webp"
,"Gluco Max-D 150(±)50gm","Beverage","",80,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67d2deed9b1b113f0bd230ad_Gluco-Max-D-BIB-200gm_1_415.webp"
,"Coca Cola 250ml (Go Pack)","Beverage","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b4115075f231ec4d12_Coca-Cola-250ml-Go-Pack_1_415.webp"
,"Coca Cola 325(±)5ml Imported (Can)","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b34e605f3fd35f16c0c_Coca-Cola-Can-3255ml-Imp_1_415.webp"
,"Coca Cola Classic Drink Can 180ml Thailand","Beverage","",210,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b51e605f3fd35f16cd3_Coca-Cola-Classic-Drink-Can-180ml-TH_1_415.webp"
,"Coca Cola 250ml (Can)","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bfa414c61225be9c5ab_Coca-Cola-250ml-can_1_415.webp"
,"Sprite Drink 400ml","Beverage","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b5115075f231ec4d22_Sprite-Drink-400ml_1_415.webp"
,"Sprite Sparkling Lemon Lime Can 330(±)10ml Imported","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b36e605f3fd35f16c17_Sprite-Sparkl-Lem-Lime-Can-33010mlImp_1_415.webp"
,"Sprite 250ml (Can)","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bfb414c61225be9c5af_Sprite-250ml-can_1_415.webp"
,"7 Up Pet Bottle 200ml","Beverage","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939e115075f231ec4c06_7-Up-250-ml-Lemon-Flavour-Pet-Bottle_1_415.webp"
,"Pepsi Drinks 250ml (Can)","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93af115075f231ec4cde_Pepsi-Drinks-250ml-Can_1_415.webp"
,"Pepsi 330ml Can Imported","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b40e605f3fd35f16c53_Pepsi-330ml-Can-Imp_1_415.webp"
,"Pepsi 250(±)50ml (Pet)","Beverage","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939e115075f231ec4c02_Pepsi-250ml-Pet-Bottle_1_415.webp"
,"Mirinda Orange Drinks 250ml (Can)","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93af115075f231ec4cd6_Mirinda-Orange-Drinks-250ml-Can_1_415.webp"
,"Mirinda 250(±)50ml (Pet)","Beverage","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9388115075f231ec4aee_Mirinda-250ml-Pet_1_415.webp"
,"Mirinda Orange Drink Can 325(±)5ml Imported","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b42e605f3fd35f16c5e_Mirinda-Orange-Drink-Can-3255mlImp_1_415.webp"
,"Mountain Dew Drinks Can 330(±)5ml Imported","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b3ae605f3fd35f16c2a_Mountain-Dew-Drinks-Can-3305ml-Imp_1_415.webp"
,"Fanta 1000ml (Pet)","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939f115075f231ec4c12_Fanta-1000ml-Pet_1_415.webp"
,"Fanta Orange Drink 250ml (Pet)","Beverage","",25,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93bb115075f231ec4d6a_Fanta-Orange-Drink-250ml-Pet_1_415.webp"
,"Fanta Grape Flavour Drink 330(±)10ml Imported (Can)","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b3de605f3fd35f16c4a_Fanta-Grape-Flav-Drink-Can-33010mlImp_1_415.webp"
,"Fanta Orange Can 330(±)10ml Imported","Beverage","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5d0067663f5e6472dfe_Fanta-Orange-Can-33010ml-Imp_1_415.webp"
,"Fanta Can 250ml","Beverage","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bfb414c61225be9c5b3_Fanta-Can-250ml_1_415.webp"
,"Fresh Googly Drink Pet 1Ltr.","Beverage","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae0a8b70ee8a438344c6_Fresh-Googly-Drink-Pet-1L_1_415.webp"
,"Fresh Up Drink Pet 1Ltr.","Beverage","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b53e605f3fd35f16cdc_Fresh-Up-Drink-Pet-1L_1_415.webp"
,"Fresh Cola Drink Pet 1Ltr.","Beverage","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae0a8b70ee8a438344ca_Fresh-Cola-Drink-Pet-1L_1_415.webp"
,"Fresh Club 9 Soda 500ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a37ed04c1252b7beac8_Fresh-Culb-9-Soda-500ml_1_415.webp"
,"Mojo 250ml (Pet)","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9386115075f231ec4ace_Mojo-250ml-Pet_1_415.webp"
,"Mojo 2000ml (Plastic Bot)","Beverage","",110,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b28e605f3fd35f16b9f_Mojo-2000ml-Plastic-Bot_1_415.webp"
,"Clemon 1000ml (Pet Bottle)","Beverage","",60,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae038b70ee8a43834486_Clemon-1000ml-Pet-Bottle_1_415.webp"
,"Kinley Club Soda Water 600ml","Beverage","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b2115075f231ec4d02_Kinley-Club-Soda-Water-600ml_1_415.webp"
,"Nescafe Original Milk Coffee Drink 240ml","Beverage","",375,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5d3067663f5e6472f2b_Nescafe-Original-Milk-Coffee-Drink-240ml_1_415.webp"
,"Nescafe Mocha Low Fat Milk Coffee Drink 240ml","Beverage","",375,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5d4067663f5e6472f33_Nescafe-Mocha-Low-Fat-Milk-Coffee-Drink-240ml_1_415.webp"
,"Nescafe 3in1 Iced Frappe Coffee 30gm","Beverage","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94cd115075f231ec4f0d_Nescafe-3-in-1-Iced-Frappe-Coffee-30gm_1_415.webp"
,"Nescafe 3in1 Hazelnut Latte 25(±)3gm","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94c3115075f231ec4e8d_Nescafe-3-in-1-Hazelnut-Latte-25gm_1_415.webp"
,"Nescafe Creamy Latte 18gm","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94ba115075f231ec4e25_Nescafe-Creamy-Latte-18gm_1_415.webp"
,"Nescafe 3 in 1 Coffee Mix 14gm","Beverage","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9399115075f231ec4bc6_Nescafe-3-in-1-Coffee-Mix-14gm_1_415.webp"
,"Moccona Select Instant Coffee 100gm (Jar)","Beverage","",660,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939c115075f231ec4be6_Moccona-Select-Instant-Coffee-100gm-Jar_1_415.webp"
,"Nestle Coffee Mate 400gm (Jar)","Beverage","",400,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66813561f077212bd74ef74f_Nestle-Coffee-Mate-400gm-Jar_1_415.webp"
,"Nestle Coffee Mate 450gm (BIB)","Beverage","",380,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66813563f077212bd74ef75a_Nestle-Coffee-Mate-450gm-BIB_1_415.webp"
,"AMA 3in1 Coffee 10X15gm","Beverage","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94cc115075f231ec4ef9_AMA-3in1-Coffee-10X15gm_1_415.webp"
,"AMA Classic Coffee 10X1gm","Beverage","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94cb115075f231ec4ef5_AMA-Classic-Coffee-10X1gm_1_415.webp"
,"Sunquick Fruit Cocktail Squash 700ml Sri Lanka","Beverage","",890,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94c5115075f231ec4ea5_Sunquick-Fruit-Cocktail-Squash-840ml-Sri-Lanka_1_415.webp"
,"Dewlands Mango Juice 1Ltr.","Beverage","",630,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b2ee605f3fd35f16bbf_Dewlands-Mango-Juice-1-Litter_1_415.webp"
,"Fontana Apple Juice 1Ltr.","Beverage","",525,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b2be605f3fd35f16bae_Fontana-Apple-Juice-1L_1_415.webp"
,"Fontana Tomato Juice 1Ltr.","Beverage","",525,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b2ce605f3fd35f16bb3_Fontana-Tomato-Juice-1L_1_415.webp"
,"Nutrilife Pomegranate Beverage 1Ltr.","Beverage","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93be115075f231ec4d8e_Nutrilife-Pomegranate-Beverage-1L_1_415.webp"
,"Nutrilife Mango Beverage 1Ltr.","Beverage","",295,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b47e605f3fd35f16c8a_Nutrilife-Mango-Beverage-1L_1_415.webp"
,"Nutrilife Apple Fruit Magic 1Ltr.","Beverage","",295,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93be115075f231ec4d92_Nutrilife-Apple-Fruit-Magic-1L_1_415.webp"
,"Nutrilife Orange Fruit Magic 1Ltr.","Beverage","",295,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a0573a11aefc405bb708_Nutrilife-Orange-Fruit-Magic-1L_1_415.webp"
,"Nutrilife Orange Fruit Magic 160ml","Beverage","",45,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94bd115075f231ec4e4d_Nutrilife-Orange-Fruit-Magic-160ml_1_415.webp"
,"American Harvest Basil Seed + White Grape 290ml","Beverage","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a08ed04c1252b7be707_American-Harvest-Basil-Seed-White-Grape-290ml_1_415.webp"
,"American Harvest Basil Seed + Orange 290ml","Beverage","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668269fced04c1252b7be6bc_American-Harvest-Basil-Seed-Orange-290ml_1_415.webp"
,"American Harvest Basil Seed + Pomegranate 290ml","Beverage","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a06ed04c1252b7be6ff_American-Harvest-Basil-Seed-Pomegranate-290ml_1_415.webp"
,"American Harvest Basil Seed. + Mix Fruit 290ml","Beverage","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a0aed04c1252b7be714_American-Harvest-Basil-Seed-Mix-Fruit-290ml_1_415.webp"
,"American Harvest Basil Seed+Apple 290ml","Beverage","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a0ced04c1252b7be71a_American-Harvest-Basil-SeedApple-290ml_1_415.webp"
,"Dolphin Orange Drink 350ml","Beverage","",280,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668269f8ed04c1252b7be6ac_Dolphin-Orange-Drink-350ml_1_415.webp"
,"Dolphin Strawberry Drink 350ml Malaysia","Beverage","",280,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d32f2321da2357f5ee0_Dolphin-Strawberry-Drink-350ml-MY_1_415.webp"
,"Latina Apple Juice 1000ml (Tetra)","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b0115075f231ec4ce2_Latina-Apple-Juice-1000ml-Tetra_1_415.webp"
,"Latina Mango Juice 1000ml (Tetra)","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b0115075f231ec4ce6_Latina-Mango-Juice-1000ml-Tetra_1_415.webp"
,"Latina Orange Juice 1000ml (Tetra)","Beverage","",285,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b0115075f231ec4cea_Latina-Orange-Juice-1000ml-Tetra_1_415.webp"
,"Jussvina Orange Juice 230ml Vietnam","Beverage","",165,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a31ed04c1252b7bea30_Jussvina-Orange-Juice-230ml-VN_1_415.webp"
,"Frutika Mango 1000ml","Beverage","",90,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9390115075f231ec4b52_Frutika-Mango-1000ml_1_415.webp"
,"Frutika Mango Fruit Drink 500ml","Beverage","",50,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94cb115075f231ec4ef1_Frutika-Mango-Fruit-Drink-500ml_1_415.webp"
,"Frutika Grape Fruit Drink 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9390115075f231ec4b4e_Frutika-Grape-Fruit-Drink-250ml_1_415.webp"
,"Frutika Mango 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938f115075f231ec4b4a_Frutika-Mango-Drink-250ml_1_415.webp"
,"Starship Mango Fruit Drinks 1000ml (Pet)","Beverage","",90,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94c0115075f231ec4e6d_Star-Ship-Mango-Fruit-Drinks-1000ml-Pet_1_415.webp"
,"Starship Mango Milk Drink 200ml (Tetra)","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68f60963974218ccf6c62f4b_Starship-Mango-Milk-Drink-200ml-Tetra_1_415.webp"
,"Starship Mango Juice 200ml Tetra","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9398115075f231ec4bae_Starship-Mango-Juice-200ml_1_415.webp"
,"Starship Mango Fruity 125ml","Beverage","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9397115075f231ec4baa_Starship-Mango-Fruity-125ml_1_415.webp"
,"Pran Frooto Mango Juice 1000ml","Beverage","",80,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938f115075f231ec4b42_Pran-Frooto-Mango-Juice-1000ml_1_415.webp"
,"Pran Mango Fruit Drink 1Ltr.","Beverage","",80,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6661452e245cbc9913793606_Pran-Mango-Fruit-Drink-1L_1_415.webp"
,"Pran Frooto Mango Juice 500ml","Beverage","",45,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939d115075f231ec4bee_Pran-Frooto-Mango-Juice-500ml_1_415.webp"
,"Pran Junior Mango Drink 125ml","Beverage","",12,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938f115075f231ec4b46_Pran-Junior-Mango-Drink-125ml_1_415.webp"
,"Drinko Float Litchi 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93bc115075f231ec4d72_Drinko-Ploat-Litchi-250ml_1_415.webp"
,"Drinko Float Pineapple Drink 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94c6115075f231ec4eb5_Drinko-Float-Pineapple-Drink-250ml_1_415.webp"
,"Drinko Float Mango Drinks 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d0115075f231ec4f31_Drinko-Float-Mango-Drinks-250ml_1_415.webp"
,"Drinko Float Orange Drinks 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d1115075f231ec4f35_Drinko-Float-Orange-Drinks-250ml_1_415.webp"
,"Drinko Float Strawberry Drinks 250ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d0115075f231ec4f2d_Drinko-Float-Strawberry-Drinks-250ml_1_415.webp"
,"Taaqa Electrolyte Apple Juice 160ml Bhutan","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84ac673683244576a8ec_Taaqa-Electrolyte-Apple-Juice-160ml-Bhutan_1_415.webp"
,"Aktive + Electrolyte Lemon Drink 200ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a07f3a11aefc405bb8fb_Aktive-Electrolyte-Lemon-Drink-200ml_1_415.webp"
,"Aktive + Electrolyte Orange Drink 200ml","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94cc115075f231ec4f01_Aktive-Electrolyte-Orange-Drink-200ml_1_415.webp"
,"Evian Natural Mineral Water 1.5Ltr.","Beverage","",580,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa939c115075f231ec4bea_Evian-Natural-Mineral-Water-1-5L_1_415.webp"
,"Nestle Milo Hi-Cal Drinks 240ml (Can)","Beverage","",375,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b3fe605f3fd35f16c4e_Nestle-Milo-Hi-Cal-Drinks-240ml-Can_1_415.webp"
,"Fresh Natural Drinking Water 0.5Ltr.","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938a115075f231ec4b06_Fresh-Natural-Drinking-Water-500ml_1_415.webp"
,"MJ's Pancake Syrup 710gm United Arab Emirates","Beverage","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6682b2c7553667c18a95f4e1_MJs-Pancake-Syrup-710g-AE_1_415.webp"
,"Fresh Natural Drinking Water 250ml","Beverage","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa938b115075f231ec4b0a_Fresh-Natural-Drinking-Water-250ml_1_415.webp"
,"Kinley Drinking Water 2Ltr.","Beverage","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b4115075f231ec4d16_Kinley-Drinking-Water-2L_1_415.webp"
,"Kinley Mineral Drinking Water 1Ltr.","Beverage","",30,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93ba115075f231ec4d5e_Kinley-Mineral-Drinking-Water-1L_1_415.webp"
,"Kinley Drinking Water 500ml","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93b3115075f231ec4d0a_Kinley-Drinking-Water-500ml_1_415.webp"
,"Aquafina Drinking Water 1.5Ltr.","Beverage","",35,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93ac115075f231ec4cae_Aquafina-Drinking-Water-1-5-Litre_1_415.webp"
,"Aquafina Drinking Water 500ml","Beverage","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93ab115075f231ec4caa_Aquafina-Drinking-Water-500ml_1_415.webp"
,"Nescafe Classic Coffee 100(±)10gm (Glass Bottle)","Beverage","",475,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9389115075f231ec4af2_Nescafe-Classic-Coffee-100gm-Glass-Bottle_1_415.webp"
,"Nescafe Classic 200(±)20gm (Jar)","Beverage","",970,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9389115075f231ec4af6_Nescafe-Classic-200gm-Jar_1_415.webp"
,"Nescafe Classic coffee 50gm (Glass Bottle)","Beverage","",275,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9389115075f231ec4afa_Nescafe-Classic-coffee-50gm-Glass-Bottle_1_415.webp"
,"Fresh Premium Tea 200gm","Beverage","",15,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9390115075f231ec4b56_Fresh-Premium-Tea-200gm_1_415.webp"
,"Ispahani Mirzapore Tea 100gm (Bag)","Beverage","",95,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9391115075f231ec4b5a_Ispahani-Mirzapore-Tea-100gm-Bag_1_415.webp"
,"Ispahani Mirzapore Bestleaf 400gm (Poly Bag)","Beverage","",230,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9391115075f231ec4b62_Ispahani-Mirzapore-Bestleaf-400gm-Poly-Bag_1_415.webp"
