Barcode,Name,Category,Cost,Price,Image URL
,"Lindt Lindor Assorted Chocolate 200gm","Candy & Chocolate","",10,"https://d2t8nl1y0ie1km.cloudfront.net/images/66011b2e4744fb420cd77d59_Candy%20Chocolate_M.png"
,"Lindt Lindor Assorted Chocolate 200gm","Candy & Chocolate","",1250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a4d93a11aefc405ebe34_Lindt-Lindor-Assorted-Chocolate-200gm_1_415.webp"
,"Lindt 70% Cocoa Dark Chocolate 100gm","Candy & Chocolate","",625,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9672d61902ef2307b18f_Lindt-70-Cocoa-Dark-Chocolate-100gm_1_415.webp"
,"Hersheys Kisses Creamy Milk Almond Chocolate 146gm","Candy & Chocolate","",1080,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681785c380e8899e56cc926_Hersheys-Kisses-Creamy-Milk-Almond-Chocolate-146_1_415.webp"
,"Hersheys Kisses Milk Chocolate Almond 150gm Malaysia","Candy & Chocolate","",1080,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6681785c380e8899e56cc92d_Hersheys-Kisses-Special-Selection-100gm-Malaysia_1_415.webp"
,"Hersheys Kisses Cookies N Creme 36gm Malaysia","Candy & Chocolate","",298,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66817862380e8899e56cc968_Hersheys-Kisses-Cookies-N-Cr%C3%A8me-36g-MY_1_415.webp"
,"Hersheys Kisses Creamy Milk Almond 36gm Malaysia","Candy & Chocolate","",298,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/668fd5e3067663f5e6472f99_Hersheys-Kisses-C-Milk-Almond-36g-MY_1_415.webp"
,"Hersheys Kisses Creamy Milk Chocolate 36gm Malaysia","Candy & Chocolate","",298,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75d96569b52bd37c24b9_Hersheys-Kisses-C-Milk-Chocolate-36g-MY_1_415.webp"
,"Hersheys Kisses Dark Chocolate 36gm Malaysia","Candy & Chocolate","",298,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75da6569b52bd37c24bd_Hersheys-Kisses-Dark-Chocolate-36g-MY_1_415.webp"
,"Ferrero Rocher Chocolate 37.5gm","Candy & Chocolate","",230,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68931f3a2530624939633605_Ferrero-Rocher-Chocolate-37-5gm_1_415.webp"
