Barcode,Name,Category,Cost,Price,Image URL
,"Nestle Nido Forti Grow Milk Powder 1kg (Tin)","Dairy","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/66011a474744fb420cd6c93e_Dairy_M.png"
,"Nestle Nido Forti Grow Milk Powder 1kg (Tin)","Dairy","",1400,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9385115075f231ec4abe_Nestle-Nido-Forti-Grow-Milk-Powder-1kg-Tin_1_415.webp"
,"Marks Active School 400gm (BIB)","Dairy","",425,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67dfce0bec6779a891028f5c_Marks-Active-School-400gm-BIB_1_415.webp"
,"Marks Active School 2in1 Chocolate Milk Powder 400gm","Dairy","",425,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9523115075f231ec86d7_Marks-Active-School-2in1-Chocolate-Milk-Powder-400gm_1_415.webp"
,"Dano Power Full Cream Milk Powder 500gm","Dairy","",480,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68da738de941797f306442f7_Dano-Power-Full-Cream-Milk-Powder-500gm_1_415.webp"
,"Dano Power Full Cream Milk Powder 200gm","Dairy","",205,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67bf3128cb51ea3b6c265f11_Dano-Power-Full-Cream-Milk-Powder-200gm_1_415.webp"
,"Diploma Instant Full Cream Milk Powder 1kg (Foil Pack)","Dairy","",950,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9503115075f231ec6941_Diploma-Instant-Full-Cream-Milk-Powder-1kg-Foil-Pack_1_415.webp"
,"Diploma Instant Full Cream Milk Powder 500gm (Foil Pack)","Dairy","",480,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9503115075f231ec697e_Diploma-Instant-Full-Cream-Milk-Powder-500gm-Foil-Pack_1_415.webp"
,"Diploma Instant Full Cream Milk Powder 200gm (Foil Pack)","Dairy","",205,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa950c115075f231ec71c3_Diploma-Instant-Full-Cream-Milk-Powder-200gm-Foil-Pack_1_415.webp"
,"Fresh Instant Full Cream Milk Powder 1000gm","Dairy","",940,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/67dfa6abec6779a891ed4b50_Fresh-Instant-Full-Cream-Milk-Powder-1000gm_1_415.webp"
,"Farm Fresh Full Cream Milk Powder 1kg","Dairy","",910,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6664167df96348184fde4510_Farm-Fresh-Full-Cream-Milk-Powder-1kg_1_415.webp"
,"Fresh Instant Full Cream Milk Powder 500gm","Dairy","",475,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9509115075f231ec6e53_Fresh-Instant-Full-Cream-Milk-Powder-500gm_1_415.webp"
,"Danish Full Cream Milk Powder 1kg","Dairy","",70,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9520115075f231ec83c2_Danish-Full-Cream-Milk-Powder-1kg_1_415.webp"
,"Pusti Plus Instant Full Cream Milk Powder 1kg","Dairy","",80,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/686f9415c45a839ba05bf3d1_Pusti-Plus-Instant-Full-Cream-Milk-Powder-1kg_1_415.webp"
,"Pusti Plus Instant Full Cream Milk Powder 500gm","Dairy","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/686f8fccc45a839ba05a6d84_Pusti-Plus-Instant-Full-Cream-Milk-Powder-500gm_1_415.webp"
,"AMA Full Cream Milk Powder 1kg","Dairy","",870,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9540115075f231eca03d_AMA-Full-Cream-Milk-Powder-1kg_1_415.webp"
,"Starship Full Cream Milk Power 1kg (Poly)","Dairy","",700,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/68f6095d974218ccf6c62f0a_Starship-Full-Cream-Milk-Power-1kg-Poly_1_415.webp"
,"Red Cow Instant Full Cream Milk Powder 500gm","Dairy","",490,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9540115075f231ec9f8b_Red-Cow-Instant-Full-Cream-Milk-Powder-500gm_1_415.webp"
,"Pran Premium Butter 200gm","Dairy","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9519115075f231ec7d57_Pran-Premium-Butter-200gm_1_415.webp"
,"Farm Fresh Premium Butter 50gmX4Pcs (Box)","Dairy","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa951f115075f231ec830f_Farm-Fresh-Premium-Butter-50gmX4pcs-Box_1_415.webp"
,"Farm Fresh Premium Butter 200gm","Dairy","",260,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa951f115075f231ec82a8_Farm-Fresh-Premium-Butter-200gm_1_415.webp"
,"Aarong Butter 200gm","Dairy","",270,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9505115075f231ec6a94_Aarong-Dairy-Butter-200gm_1_415.webp"
,"Aarong Butter 100gm","Dairy","",150,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9504115075f231ec6a75_Aarong-Dairy-Butter-100gm_1_415.webp"
,"Lurpak Usalted Butter Portion 10x8(±)2gm","Dairy","",415,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d754e6569b52bd37c1d2f_Lurpak-Butter-Unsalted-10gmX10P-Box_1_415.webp"
,"Aarong Ghee 900(±)100gm","Dairy","",1735,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6836d317ca346a5a6f03af3e_Aarong-Ghee-900100gm_1_415.webp"
,"Aarong Ghee 400(±)50gm","Dairy","",825,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6836d31aca346a5a6f03b288_Aarong-Ghee-400100gm_1_415.webp"
,"Aarong Ghee 200gm","Dairy","",390,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94ff115075f231ec674f_Aarong-Dairy-Ghee-200gm_1_415.webp"
,"Aarong Dairy Ghee 100gm (Tin)","Dairy","",205,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9521115075f231ec84d2_Aarong-Dairy-Ghee-100gm-Tin_1_415.webp"
,"Pran Premium Ghee 200gm","Dairy","",40,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9500115075f231ec67dd_Pran-Premium-Ghee-200gm_1_415.webp"
,"Pran Premium Ghee 100gm","Dairy","",20,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9512115075f231ec765d_Pran-Premium-Ghee-100gm_1_415.webp"
,"Red Cow Butter Oil 900(±)100gm","Dairy","",1940,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6664167df96348184fde4508_Red-Cow-Butter-Oil-900gm_1_415.webp"
,"Red Cow Butter Oil 400gm","Dairy","",1010,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/689dadbed775696748baba17_Red-Cow-Butter-Oil-500gm_1_415.webp"
,"Red Cow Butter Oil 200gm","Dairy","",415,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9510115075f231ec7529_Red-Cow-Butter-Oil-200gm_1_415.webp"
,"Ultra Ghee 400gm","Dairy","",670,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6661de053a21e0c2dec510d1_Ultra-Ghee-400gm_1_415.webp"
,"Ultra Ghee 200gm","Dairy","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6661de063a21e0c2dec510d5_Ultra-Ghee-200gm_1_415.webp"
,"Almarai Spreadable Cream Cheese 500gm","Dairy","",1550,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a4aed04c1252b7bedc0_Almarai-Spreadable-Cream-Chesse-500g_1_415.webp"
,"Almarai Spreadable Cream Cheese 200gm","Dairy","",670,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3aed04c1252b7beb28_Almarai-Spreadable-Cream-Cheese-200g_1_415.webp"
,"Kraft Cheddar Cheese 190gm","Dairy","",470,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75446569b52bd37c1ce3_Kraft-Cheddar-Cheese-190g_1_415.webp"
,"Grand'Or Hard Matured Cheese 180gm","Dairy","",900,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75506569b52bd37c1d3b_GrandOr-Hard-Matured-Cheese-180g_1_415.webp"
,"Arla Emmental Cheese 200gm Denmark","Dairy","",810,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75546569b52bd37c1d94_Arla-Emmental-Cheese-200g-DK_1_415.webp"
,"Arla Sandwich Slices Original 200gm","Dairy","",460,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3aed04c1252b7beba1_Arla-Sandwich-Slices-Original-200gm_1_415.webp"
,"Arla Natural Cream Cheese 150gm","Dairy","",420,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d754f6569b52bd37c1d37_Arla-Natural-Cream-Cheese-150g_1_415.webp"
,"Good Life Mozzarella Cheese 370gm","Dairy","",415,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa951e115075f231ec8249_Good-Life-Mozzarella-Cheese-370gm_1_415.webp"
,"Good Life Slice Cheese 200gm","Dairy","",340,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75536569b52bd37c1d72_Good-Life-Slice-Cheese-200g_1_415.webp"
,"Good Life Mozzarella Cheese 200gm","Dairy","",260,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa951f115075f231ec8372_Good-Life-Mozzarella-Cheese-200gm_1_415.webp"
,"Aarong Dairy Sliced Cheese Pizza 204gm","Dairy","",370,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3ced04c1252b7bebef_Aarong-Dairy-Sliced-Cheese-Pizza-204gm_1_415.webp"
,"Aarong Dairy Slice Cheese Classic 200(±)4gm","Dairy","",350,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3ced04c1252b7bebe1_Aarong-Dairy-Slice-Cheese-Classic-2004gm_1_415.webp"
,"Aarong Dairy Cheese Spread Pizza 180gm","Dairy","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d754c6569b52bd37c1d20_Aarong-Dairy-Cheese-Spread-Pizza-180g_1_415.webp"
,"Aarong Dairy Cheese Spread Garlic 180gm","Dairy","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d754d6569b52bd37c1d28_Aarong-Dairy-Cheese-Spread-Garlic-180g_1_415.webp"
,"Aarong Dairy Cheese Spread Chili Garlic 180gm","Dairy","",300,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/667d75536569b52bd37c1d62_Aarong-Dairy-Cheese-S-Chili-Garlic-180g_1_415.webp"
,"Aarong Dairy Cheese Spread Classic 180gm","Dairy","",290,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3bed04c1252b7bebd0_Aarong-Dairy-Cheese-Spread-Classic-180gm_1_415.webp"
,"Aarong Dairy Cheese Cubes Classic 120gm","Dairy","",250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66826a3ced04c1252b7bebfb_Aarong-Dairy-Cheese-Cubes-Classic-120gm_1_415.webp"
,"Aarong Dairy Austagram Cheese 100gm","Dairy","",100,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9522115075f231ec85d7_Aarong-Dairy-Austagram-Cheese-100gm_1_415.webp"
,"Ultra Mozzarella Cheese 200gm","Dairy","",260,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9546115075f231eca53e_Ultra-Mozzarella-Cheese-200gm_1_415.webp"
,"Hazrat Alir Mozzarella Cheese 250gm","Dairy","",250,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94b1115075f231ec4dc5_Hazrat-Alir-Mozzarella-Cheese-250gm_1_415.webp"
,"Cadbury Drinking/HOT Chocolate 250gm","Dairy","",1190,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b57e605f3fd35f16cf6_Cadbury-Drinking-Chocolate-250gm_1_415.webp"
,"Cowhead Pure Milk Low Fat 1Ltr.","Dairy","",450,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa950b115075f231ec7041_Cowhead-Pure-Milk-Low-Fat1L_1_415.webp"
,"Cowhead Pure Milk 1Ltr.","Dairy","",420,"https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa950a115075f231ec6fe6_Cowhead-Pure-Milk-1L_1_415.webp"
