id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class.1,item group id,sell on google quantity
INV-001,Pepsodent Advanced Salt 70g,Pepsodent Advanced Salt Toothpaste 70g. Helps strengthen teeth and provides advanced salt benefits.,in_stock,,,https://luckystore.com/product/INV-001,yes,,90.0,85.0,,,853764007422.0,GOOG70TU7000,GOOG70TU7000,"""New Display LED"", ""Resolution 4K (2160p)""","""Display Type:LED:new"", ""Display:Resolution:4K (2160p)""","https://static.awesomebrand.com/1111_100-1.jpg,https://static.awesomebrand.com/1111_100-2.jpg,",new,no,Titan Gray,"70""",,,,,,,3.0,,1.5 kg,100 g,,,,,
INV-002,Transtec LED Bright 7w Pin,Transtec LED Bright 7w Pin bulb. Energy efficient lighting for home or office.,in_stock,,,https://luckystore.com/product/INV-002,no,,195.0,195.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-003,Doodles Instant Noodles Masala 62g (24 Pack),Doodles Instant Noodles Masala flavor 62g pack of 24. Quick and tasty meal.,in_stock,,,https://luckystore.com/product/INV-003,yes,,90.0,90.0,,,,,DIPLOMA,,,,new,,,,,,,,,,,,,,,,,,
INV-004,Pepsodent Advanced Salt 140g,Pepsodent Advanced Salt Toothpaste 140g. Advanced salt formula for oral care.,in_stock,,,https://luckystore.com/product/INV-004,yes,,160.0,155.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-005,Transtec LED Bright 5w Pin,Transtec LED Bright 5w Pin bulb. Compact and energy saving.,in_stock,,,https://luckystore.com/product/INV-005,no,,150.0,150.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-006,Pepsodent Germicheck 85g,Pepsodent Germicheck Toothpaste 85g (80g net). Germ protection for healthy teeth.,in_stock,,,https://luckystore.com/product/INV-006,yes,,95.0,90.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-007,Radhuni Vinegar 280ml,Radhuni Vinegar 280ml. Perfect for salads,pickling,,,https://luckystore.com/product/INV-007,http://www.yourstore.com/images/radhuni-vinegar.jpg,,45.0,45.0,new,BATCH-001,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-008,Close Up Toothpaste Sea Salt 140g,Close Up Toothpaste with Sea Salt 140g. Fresh breath and strong teeth.,in_stock,,,https://luckystore.com/product/INV-008,yes,,170.0,165.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-009,Nescafe Sunrise 3in1 10g Sachet (FREE),Nescafe Sunrise 3in1 instant coffee mix 10g sachet. Free sample.,in_stock,,,https://luckystore.com/product/INV-009,yes,,15.0,15.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-010,Close Up Menthol Fresh Toothpaste 38g,Close Up Menthol Fresh Toothpaste 38g. Intense mint freshness.,in_stock,,,https://luckystore.com/product/INV-010,yes,,50.0,47.5,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-011,Axe Black Deodorant Body Spray -150ml,Axe Black Deodorant Body Spray 150ml. Long lasting fragrance.,in_stock,,,https://luckystore.com/product/INV-011,yes,,450.0,450.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-012,Lux Soap Soft Touch 75g,Lux Soap Soft Touch 75g. Leaves skin soft and fragrant.,in_stock,,,https://luckystore.com/product/INV-012,yes,,60.0,55.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-013,Pepsodent Sensitive Expert 140,Pepsodent Sensitive Expert Toothpaste 140g. Relief for sensitive teeth.,in_stock,,,https://luckystore.com/product/INV-013,yes,,220.0,210.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-014,Pepsodent Germicheck 40g,Pepsodent Germicheck Toothpaste 40g. Travel size germ protection.,in_stock,,,https://luckystore.com/product/INV-014,yes,,50.0,50.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-015,Axe Apollo Deodorant Body Spray,Axe Apollo Deodorant Body Spray. Fresh and masculine scent.,in_stock,,,https://luckystore.com/product/INV-015,yes,,450.0,450.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-016,Radhuni Fried Rice Mix 8gm,Radhuni Fried Rice Mix 8gm. Authentic spice blend for fried rice.,in_stock,,,https://luckystore.com/product/INV-016,no,,10.0,10.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-017,Ponds Pure White 50g,Ponds Pure White Facewash 50g. For visibly fairer skin.,in_stock,,,https://luckystore.com/product/INV-017,yes,,125.0,120.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-018,Surf Excel Matic Liquid Top 500ml,Surf Excel Matic Liquid Top 500ml. For automatic washing machines.,in_stock,,,https://luckystore.com/product/INV-018,yes,,210.0,200.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-019,Pepsodent Sensitive Gum Care 140g,Pepsodent Sensitive Gum Care Toothpaste 140g. For gum health and sensitivity.,in_stock,,,https://luckystore.com/product/INV-019,yes,,225.0,220.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-020,Close Up Menthol Fresh Toothpaste 7g,Close Up Menthol Fresh Toothpaste 7g. Pocket size freshness.,in_stock,,,https://luckystore.com/product/INV-020,yes,,3.0,3.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-021,Radhuni Sunflower Oil 1ltr,Radhuni Sunflower Oil 1 liter. Healthy cooking oil.,in_stock,,,https://luckystore.com/product/INV-021,no,,490.0,480.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-022,Ponds Pure White 100g,Ponds Pure White Facewash 100g. Double pack for fair skin.,in_stock,,,https://luckystore.com/product/INV-022,yes,,220.0,200.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-023,Foodie Masala Noodles 8 Pack,Foodie Masala Noodles 8 pack. Quick and delicious masala noodles.,in_stock,,,https://luckystore.com/product/INV-023,yes,,120.0,120.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-024,Pepsodent Germicheck 190g,Pepsodent Germicheck Toothpaste 190g. Family size germ protection.,in_stock,,,https://luckystore.com/product/INV-024,yes,,170.0,160.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-025,Kellogs K-Park 26g,Kellogs K-Park 26g. Crispy and tasty cereal snack.,in_stock,,,https://luckystore.com/product/INV-025,yes,,20.0,20.0,,,,,KELLOGS,,,,new,,,,,,,,,,,,,,,,,,
INV-026,Solecti Cookies - Standard Pack,Solecti Cookies Standard Pack. Check the name - delicious cookies.,in_stock,,,https://luckystore.com/product/INV-026,yes,,20.0,20.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-027,Lux Soap Soft Touch 25g,Lux Soap Soft Touch 25g. Small size beauty soap.,in_stock,,,https://luckystore.com/product/INV-027,yes,,15.0,15.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-028,Pepsodent Sensitive Expert Fresh 15g,Pepsodent Sensitive Expert Fresh 15g. Free promotional item.,in_stock,,,https://luckystore.com/product/INV-028,yes,,15.0,12.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-029,Tang Orange Jar 750gm,Tang Orange Jar 750gm. Vitamin C rich orange drink.,in_stock,,,https://luckystore.com/product/INV-029,no,,780.0,780.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-030,Orange Biscuit - Standard Pack,Orange Biscuit Standard Pack. Price written 4*24 but charged 8*24 - please check.,in_stock,,,https://luckystore.com/product/INV-030,yes,,5.0,5.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-031,⁠Starship Jhal Chanachur 300gm,Starship Jhal Chanachur 300gm. Spicy and crunchy mix.,in_stock,,,https://luckystore.com/product/INV-031,no,,100.0,100.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-032,Kings Pure Sunflower Oil 2L,Kings Pure Sunflower Oil 2L. Pure and healthy sunflower oil.,in_stock,,,https://luckystore.com/product/INV-032,yes,,800.0,800.0,,,,,Rupchanda,,,,new,,,,,,,,,,,,,,,,,,
INV-033,Radhuni Jira Gura 200gm,Radhuni Jira Gura (Ground Cumin) 200gm. Aromatic spice.,in_stock,,,https://luckystore.com/product/INV-033,no,,310.0,310.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-034,Sunsilk Shampoo Hair Fall Solution,Sunsilk Shampoo Hair Fall Solution 5.25ml. Small sachet for hair fall control.,in_stock,,,https://luckystore.com/product/INV-034,yes,,3.0,3.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-035,Chocolate Plus - Classic Pack,Chocolate Plus Classic Pack. Chocolate flavored biscuits.,in_stock,,,https://luckystore.com/product/INV-035,yes,,10.0,10.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-036,Radhuni Jira Gura 100gm,Radhuni Jira Gura (Ground Cumin) 100gm. Essential for curries.,in_stock,,,https://luckystore.com/product/INV-036,no,,160.0,160.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-037,Knorr Soup 31g,Knorr Soup 31g. Quick and tasty instant soup.,in_stock,,,https://luckystore.com/product/INV-037,yes,,170.0,165.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-038,Sunsilk Shampoo Thick & Long 5.25,Sunsilk Shampoo Thick & Long 5.25ml. For thicker,in_stock,,,Unilever,,,3.0,3.0,BATCH-001,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-039,Milk Plus - Classic Pack,Milk Plus Classic Pack. Milky and sweet biscuits.,in_stock,,,https://luckystore.com/product/INV-039,yes,,10.0,10.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-040,Radhuni Chui Jhal Mangsho Masala 38gm,Radhuni Chui Jhal Mangsho Masala 38gm. Spicy meat curry mix.,in_stock,,,https://luckystore.com/product/INV-040,no,,120.0,115.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-0041,Isubgul,Isubgul. Premium quality Cooking Needs available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0041,,,85.0,85.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-0042,Sunsilk Conditioner Hair Fall Solution 8ml,Conditioner 8ml,in_stock,,,https://luckystore.com/product/INV-0042,,,4.0,4.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-0043,Lifebouy Health Care 90g,Soap 90g,in_stock,,,https://luckystore.com/product/INV-0043,,,60.0,60.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-0044,Hello Cookies - Classic Pack,Hello Cookies - Classic Pack. Premium quality Biscuits & Cookies available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0044,,,10.0,10.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-0045,Clear Shampoo Cool Sport Menthol 170ml,Shampoo 170ml,in_stock,,,https://luckystore.com/product/INV-0045,,,270.0,260.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-0046,Sunsilk Shampoo Black Shine 5.25ml,Shampoo 5.25ml,in_stock,,,https://luckystore.com/product/INV-0046,,,3.0,3.0,,,,,Unilever,,,,new,,,,,,,,,,,,,,,,,,
INV-0047,Slice Pound Cake Chocolate,Slice Pound Cake Chocolate. Premium quality Biscuits & Cookies available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0047,,,35.0,35.0,,,,,KAZI FARMS KITCHEN,,,,new,,,,,,,,,,,,,,,,,,
INV-0048,Kitkat 4 Finger,Kitkat 4 Finger. Premium quality Chocolates & Candies available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0048,,,80.0,80.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
INV-0049,Lexus - Family Pack,Lexus - Family Pack. Premium quality Biscuits & Cookies available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0049,,,100.0,25.0,,,,,Olympic Industries Limited,,,,new,,,,,,,,,,,,,,,,,,
INV-0050,Nivea Fresh Natural Roll On - 50ml,Nivea Fresh Natural Roll On - 50ml. Premium quality Personal Care available at Lucky Store.,in_stock,,,https://luckystore.com/product/INV-0050,,,220.0,220.0,,,,,Lucky Store,,,,new,,,,,,,,,,,,,,,,,,
