id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class.1,item group id,sell on google quantity
DDP-DAN-001,Dano Daily Pusti 100g,Dano Daily Pusti 100g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-001,https://luckystore1947.vercel.app/product/DDP-DAN-001,,95 BDT,100 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-01,
DDP-DAN-002,Dano Daily Pusti 200g,Dano Daily Pusti 200g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-002,https://luckystore1947.vercel.app/product/DDP-DAN-002,,180 BDT,180 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-02,
DDP-DAN-003,Dano Daily Pusti 500g,Dano Daily Pusti 500g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-003,https://luckystore1947.vercel.app/product/DDP-DAN-003,,400 BDT,400 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-03,
DDP-DAN-004,Dano Daily Pusti 50g,Dano Daily Pusti 50g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-004,https://luckystore1947.vercel.app/product/DDP-DAN-004,,50 BDT,50 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-04,
DAD-DAN-001,Dano Delight 200g,Dano Delight 200g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DAD-DAN-001,https://luckystore1947.vercel.app/product/DAD-DAN-001,,205 BDT,200 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Delight-Dano-01,
DAD-DAN-002,Dano Delight 500g,Dano Delight 500g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DAD-DAN-002,https://luckystore1947.vercel.app/product/DAD-DAN-002,,480 BDT,480 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Delight-Dano-02,
DAP-DAN-001,Dano Power 200g,Dano Power 200g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DAP-DAN-001,https://luckystore1947.vercel.app/product/DAP-DAN-001,,205 BDT,210 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Power-Dano-01,
DAP-DAN-002,Dano Power 500g,Dano Power 500g. Premium quality Dairy & Eggs available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/DAP-DAN-002,https://luckystore1947.vercel.app/product/DAP-DAN-002,,480 BDT,480 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Power-Dano-02,
BBT-DIP-001,Bellame Butter Toast 200g,Bellame Butter Toast 200g. Premium quality Biscuits & Cookies available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/BBT-DIP-001,https://luckystore1947.vercel.app/product/BBT-DIP-001,,100 BDT,95 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Butter Toast-Diploma-01,
BCL-DIP-001,Bellame Choco Little Cookies 240g,Bellame Choco Little Cookies 240g. Premium quality Biscuits & Cookies available at Lucky Store.,in_stock,,,https://luckystore1947.vercel.app/product/BCL-DIP-001,https://luckystore1947.vercel.app/product/BCL-DIP-001,,110 BDT,110 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Choco Little-Diploma-01,
