id,title,description,link,image_link,availability,price,condition,brand,sale_price,identifier_exists,gtin,mpn,additional_image_link,image_link_source,image_match_confidence
INV-001,Pepsodent Advanced Salt 70g,Pepsodent Advanced Salt Toothpaste 70g. Helps strengthen teeth and provides advanced salt benefits.,https://luckystore.com/product/INV-001,https://static.awesomebrand.com/1111_100-1.jpg,in_stock,90.00 BDT,new,GOOG70TU7000,85.00 BDT,yes,853764007422.0,GOOG70TU7000,https://static.awesomebrand.com/1111_100-1.jpg,placeholder,
INV-002,Transtec LED Bright 7w Pin,Transtec LED Bright 7w Pin bulb. Energy efficient lighting for home or office.,https://luckystore.com/product/INV-002,https://luckystore.com/images/products/INV-002.jpg,in_stock,195.00 BDT,new,Lucky Store,,no,,,,placeholder,
INV-003,Doodles Instant Noodles Masala 62g (24 Pack),Doodles Instant Noodles Masala flavor 62g pack of 24. Quick and tasty meal.,https://luckystore.com/product/INV-003,https://luckystore.com/images/products/INV-003.jpg,in_stock,90.00 BDT,new,DIPLOMA,,no,,,,placeholder,
INV-004,Pepsodent Advanced Salt 140g,Pepsodent Advanced Salt Toothpaste 140g. Advanced salt formula for oral care.,https://luckystore.com/product/INV-004,https://luckystore.com/images/products/INV-004.jpg,in_stock,160.00 BDT,new,Unilever,155.00 BDT,no,,,,placeholder,
INV-005,Transtec LED Bright 5w Pin,Transtec LED Bright 5w Pin bulb. Compact and energy saving.,https://luckystore.com/product/INV-005,https://luckystore.com/images/products/INV-005.jpg,in_stock,150.00 BDT,new,Lucky Store,,no,,,,placeholder,
INV-006,Pepsodent Germicheck 85g,Pepsodent Germicheck Toothpaste 85g (80g net). Germ protection for healthy teeth.,https://luckystore.com/product/INV-006,https://luckystore.com/images/products/INV-006.jpg,in_stock,95.00 BDT,new,Unilever,90.00 BDT,no,,,,placeholder,
INV-007,Radhuni Vinegar 280ml,Radhuni Vinegar 280ml. Perfect for salads,https://luckystore.com/product/INV-007,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95ff115075f231ecccfb_Radhuni-Vinegar-280ml_1_415.webp,in_stock,45.00 BDT,new,Lucky Store,,no,,,,shwapno_match_high,1.000
INV-008,Close Up Toothpaste Sea Salt 140g,Close Up Toothpaste with Sea Salt 140g. Fresh breath and strong teeth.,https://luckystore.com/product/INV-008,https://luckystore.com/images/products/INV-008.jpg,in_stock,170.00 BDT,new,Unilever,165.00 BDT,no,,,,placeholder,
INV-009,Nescafe Sunrise 3in1 10g Sachet (FREE),Nescafe Sunrise 3in1 instant coffee mix 10g sachet. Free sample.,https://luckystore.com/product/INV-009,https://luckystore.com/images/products/INV-009.jpg,in_stock,15.00 BDT,new,Lucky Store,,no,,,,placeholder,
INV-010,Close Up Menthol Fresh Toothpaste 38g,Close Up Menthol Fresh Toothpaste 38g. Intense mint freshness.,https://luckystore.com/product/INV-010,https://luckystore.com/images/products/INV-010.jpg,in_stock,50.00 BDT,new,Unilever,47.50 BDT,no,,,,placeholder,
