Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store]
pepsodent-advanced-salt-70g,PER-PEPS-ADVA-70G,Pepsodent Advanced Salt 70g,Personal Care,Toothpaste 70g,N,,,,,,,78.67,,,,Y,Y,90.0,6,5
pepsodent-advanced-salt-140g,PER-PEPS-ADVA-140G,Pepsodent Advanced Salt 140g,Personal Care,Toothpaste 140g,N,,,,,,,140.47,,,,Y,Y,160.0,6,5
pepsodent-germicheck-85g,PER-PEPS-GERM-85G,Pepsodent Germicheck 85g,Personal Care,Toothpaste 80g,N,,,,,,,83.03,,,,Y,Y,95.0,12,5
pepsodent-sensitive-expert-140,PER-PEPS-SENS,Pepsodent Sensitive Expert 140,Personal Care,Toothpaste 140g,N,,,,,,,183.33,,,,Y,Y,220.0,2,5
pepsodent-germicheck-40g,PER-PEPS-GERM-40G,Pepsodent Germicheck 40g,Personal Care,Toothpaste 40g,N,,,,,,,43.75,,,,Y,Y,50.0,12,5
pepsodent-sensitive-gum-care-140g,PER-PEPS-SENS-140G,Pepsodent Sensitive Gum Care 140g,Personal Care,Toothpaste 140g,N,,,,,,,208.33,,,,Y,Y,240.0,2,5
pepsodent-germicheck-190g,PER-PEPS-GERM-190G,Pepsodent Germicheck 190g,Personal Care,Toothpaste 190g,N,,,,,,,149.24,,,,Y,Y,170.0,13,5
pepsodent-sensitive-expert-fresh-15g,PER-PEPS-SENS-15G,Pepsodent Sensitive Expert Fresh 15g,Personal Care,Toothpaste 15g,N,,,,,,,10.65,,,,Y,Y,15.0,13,5
sunsilk-shampoo-hair-fall-solution,PER-SUNS-SHAM,Sunsilk Shampoo Hair Fall Solution,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,Y,5.0,36,5
sunsilk-shampoo-thick-long-5-25,PER-SUNS-SHAM-1,Sunsilk Shampoo Thick & Long 5.25,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,Y,5.0,36,5
sunsilk-conditioner-hair-fall-solution-8ml,PER-SUNS-COND-8ML,Sunsilk Conditioner Hair Fall Solution 8ml,Personal Care,Conditioner 8ml,N,,,,,,,3.5,,,,Y,Y,5.0,36,5
sunsilk-shampoo-black-shine-5-25ml,PER-SUNS-SHAM-5.25ML,Sunsilk Shampoo Black Shine 5.25ml,Personal Care,Shampoo 5.25ml,N,,,,,,,2.58,,,,Y,Y,5.0,72,5
sunsilk-shampoo-black-shine-330ml,PER-SUNS-SHAM-330ML,Sunsilk Shampoo Black Shine 330ml,Personal Care,Shampoo 330ml,N,,,,,,,307.13,,,,Y,Y,355.0,2,5
sunsilk-hairfall-solution-170ml,PER-SUNS-HAIR-170ML,Sunsilk Hairfall Solution 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,Y,185.0,3,5
sunsilk-black-shine-170ml,PER-SUNS-BLAC-170ML,Sunsilk Black Shine 170ml,Personal Care,Shampoo 170ml,N,,,,,,,158.14,,,,Y,Y,185.0,3,5
sunsilk-hijab-refresh-340ml,PER-SUNS-HIJA-340ML,Sunsilk Hijab Refresh 340ml,Personal Care,Shampoo 340ml,N,,,,,,,364.24,,,,Y,Y,420.0,2,5
sunsilk-shampoo-thick-long-340ml,PER-SUNS-SHAM-340ML,Sunsilk Shampoo Thick & Long 340ml,Personal Care,Shampoo 340ml,N,,,,,,,307.13,,,,Y,Y,355.0,2,5
