Sl,SKU,Barcode,Item Name,Category,Description,Cost,MRP,Competitor Price,LS Price,Initial Stock Qty,Tax Paid,Discount,Total Cost,Total Price,Total Profit,% Profit,Batch Code,Supplier,Expiry Date (YYYY-MM-DD),Image URL,Price URL,XPath
UNILIVER - ATLANTIC DISTRIBUTION ,,,,,,,,,,,,,,,,,,,,,,
1,,,Pepsodent Advanced Salt 70g,Personal Care,Toothpaste 70g,78.67,90.0,85.00 - 95.00,85.0,6,54.6,52,419.92,510.00,90,21.45,BATCH-001,Unilever - Atlantic Distribition,,,,
2,,,Pepsodent Advanced Salt 140g,Personal Care,Toothpaste 140g,140.47,160.0,155.00 - 170.00,155.0,6,97.5,93,749.78,930.00,180,24.04,BATCH-001,Unilever - Atlantic Distribition,,,,
3,,,Pepsodent Germicheck 85g,Personal Care,Toothpaste 80g,83.03,95.0,90.00 - 100.00,90.0,12,125.0,35,961.36,1080.00,119,12.34,BATCH-001,Unilever - Atlantic Distribition,,,,
4,,,Pepsodent Sensitive Expert 140,Personal Care,Toothpaste 140g,183.33,220.0,210.00 - 240.00,210.0,2,42.8,37,329.21,420.00,91,27.58,BATCH-001,Unilever - Atlantic Distribition,,,,
5,,,Pepsodent Germicheck 40g,Personal Care,Toothpaste 40g,43.75,50.0,50.00 - 55.00,50.0,12,68.3,,525.00,600.00,75,14.29,BATCH-001,Unilever - Atlantic Distribition,,,,
6,,,Pepsodent Sensitive Gum Care 140g,Personal Care,Toothpaste 140g,208.33,225.0,220.00 - 245.00,220.0,2,48.6,43,374.11,440.00,66,17.61,BATCH-001,Unilever - Atlantic Distribition,,,,
7,,,Pepsodent Germicheck 190g,Personal Care,Toothpaste 190g,149.24,170.0,160.00 - 185.00,160.0,13,249.6,125,1815.12,2080.00,265,14.59,BATCH-001,Unilever - Atlantic Distribition,,,,
8,,,Pepsodent Sensitive Expert Fresh 15g,Personal Care,Free Item,10.65,15.0,,12.0,13,18.7,,138.45,156.00,18,13,BATCH-001,Unilever - Atlantic Distribition,,,,
9,,,Sunsilk Shampoo Hair Fall Solution,Personal Care,Shampoo 5.25ml,2.58,3.0,,3.0,36,13.0,4,88.50,108.00,20,22.03,BATCH-001,Unilever - Atlantic Distribition,,,,
10,,,Sunsilk Shampoo Thick & Long 5.25,Personal Care,Shampoo 5.25ml,2.58,3.0,,3.0,36,13.0,4,88.50,108.00,20,22.03,BATCH-001,Unilever - Atlantic Distribition,,,,
11,,,Sunsilk Conditioner Hair Fall Solution 8ml,Personal Care,Conditioner 8ml,3.5,4.0,,4.0,36,17.3,7,119.50,144.00,25,20.50,BATCH-001,Unilever - Atlantic Distribition,,,,
12,,,Sunsilk Shampoo Black Shine 5.25ml,Personal Care,Shampoo 5.25ml,2.58,3.0,,3.0,72,25.9,,185.76,216.00,30,16.28,BATCH-001,Unilever - Atlantic Distribition,,,,
13,,,Sunsilk Shampoo Black Shine 330ml,Personal Care,Shampoo 330ml,307.13,350.0,350.00 - 410.00,350.0,2,84.0,,614.26,700.00,86,13.96,BATCH-001,Unilever - Atlantic Distribition,,,,
