id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class.1,item group id,sell on google quantity,sale_price,cost,category,supplier,image_url,barcode,search_text,cost_confidence,image_confidence
DDP-DAN-001,Dano Daily Pusti 100g,Dano Daily Pusti 100g,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-001,https://luckystore1947.vercel.app/product/DDP-DAN-001,,95.0,100 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-01,,100.0,82.0,Dairy & Eggs,DANO - ISLAM TRADING,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6881de7f9b4616728f45b2c1_Dano-Daily-Pusti-Milk-Powder-500gm_1_415.webp,LS-000001,dano daily pusti 100g dano dairy & eggs,100.0,86.48648648648648
DDP-DAN-002,Dano Daily Pusti 200g,Dano Daily Pusti 200g,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-002,https://luckystore1947.vercel.app/product/DDP-DAN-002,,180.0,180 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-02,,180.0,150.0,Dairy & Eggs,DANO - ISLAM TRADING,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6881de7f9b4616728f45b2c1_Dano-Daily-Pusti-Milk-Powder-500gm_1_415.webp,LS-000002,dano daily pusti 200g dano dairy & eggs,100.0,86.48648648648648
DDP-DAN-003,Dano Daily Pusti 500g,Dano Daily Pusti 500g,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-003,https://luckystore1947.vercel.app/product/DDP-DAN-003,,400.0,400 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-03,,400.0,360.0,Dairy & Eggs,DANO - ISLAM TRADING,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6881de7f9b4616728f45b2c1_Dano-Daily-Pusti-Milk-Powder-500gm_1_415.webp,LS-000003,dano daily pusti 500g dano dairy & eggs,100.0,86.48648648648648
DDP-DAN-004,Dano Daily Pusti 50g,Dano Daily Pusti 50g,in_stock,,,https://luckystore1947.vercel.app/product/DDP-DAN-004,https://luckystore1947.vercel.app/product/DDP-DAN-004,,50.0,50 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Daily Pusti-Dano-04,,50.0,40.0,Dairy & Eggs,DANO - ISLAM TRADING,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6881de7f9b4616728f45b2c1_Dano-Daily-Pusti-Milk-Powder-500gm_1_415.webp,LS-000004,dano daily pusti 50g dano dairy & eggs,100.0,88.88888888888889
DAD-DAN-001,Dano Delight 200g,Dano Delight 200g,in_stock,,,https://luckystore1947.vercel.app/product/DAD-DAN-001,https://luckystore1947.vercel.app/product/DAD-DAN-001,,205.0,200 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Delight-Dano-01,,200.0,185.0,Dairy & Eggs,DANO - ISLAM TRADING,,LS-000005,dano delight 200g dano dairy & eggs,100.0,82.75862068965517
DAD-DAN-002,Dano Delight 500g,Dano Delight 500g,in_stock,,,https://luckystore1947.vercel.app/product/DAD-DAN-002,https://luckystore1947.vercel.app/product/DAD-DAN-002,,480.0,480 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Delight-Dano-02,,480.0,451.0,Dairy & Eggs,DANO - ISLAM TRADING,,LS-000006,dano delight 500g dano dairy & eggs,100.0,82.75862068965517
DAP-DAN-001,Dano Power 200g,Dano Power 200g,in_stock,,,https://luckystore1947.vercel.app/product/DAP-DAN-001,https://luckystore1947.vercel.app/product/DAP-DAN-001,,205.0,210 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Power-Dano-01,,210.0,190.0,Dairy & Eggs,DANO - ISLAM TRADING,,LS-000007,dano power 200g dano dairy & eggs,100.0,80.0
DAP-DAN-002,Dano Power 500g,Dano Power 500g,in_stock,,,https://luckystore1947.vercel.app/product/DAP-DAN-002,https://luckystore1947.vercel.app/product/DAP-DAN-002,,480.0,480 BDT,,,,,Dano,,,,new,,,,,,,,,,,,,,,,,Dano Power-Dano-02,,480.0,447.0,Dairy & Eggs,DANO - ISLAM TRADING,,LS-000008,dano power 500g dano dairy & eggs,100.0,80.0
BBT-DIP-001,Bellame Butter Toast 200g,Bellame Butter Toast 200g,in_stock,,,https://luckystore1947.vercel.app/product/BBT-DIP-001,https://luckystore1947.vercel.app/product/BBT-DIP-001,,100.0,95 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Butter Toast-Diploma-01,,95.0,82.0,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000009,bellame butter toast 200g diploma biscuits & cookies,100.0,63.63636363636363
BCL-DIP-001,Bellame Choco Little Cookies 240g,Bellame Choco Little Cookies 240g,in_stock,,,https://luckystore1947.vercel.app/product/BCL-DIP-001,https://luckystore1947.vercel.app/product/BCL-DIP-001,,110.0,110 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Choco Little-Diploma-01,,110.0,92.0,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000010,bellame choco little cookies 240g diploma biscuits & cookies,100.0,70.58823529411765
BCD-DIP-001,Bellame Chocolate Digestive 135g,Bellame Chocolate Digestive 135g,in_stock,,,https://luckystore1947.vercel.app/product/BCD-DIP-001,https://luckystore1947.vercel.app/product/BCD-DIP-001,,50.0,50 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Chocolate Digestive-Diploma-01,,50.0,43.0,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000011,bellame chocolate digestive 135g diploma biscuits & cookies,100.0,74.50980392156863
BCF-DIP-001,Bellame Chocolate Fondue Cookie 176g,Bellame Chocolate Fondue Cookie 176g,in_stock,,,https://luckystore1947.vercel.app/product/BCF-DIP-001,https://luckystore1947.vercel.app/product/BCF-DIP-001,,150.0,150 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Chocolate Fondue-Diploma-01,,150.0,120.0,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000012,bellame chocolate fondue cookie 176g diploma biscuits & cookies,100.0,75.86206896551724
BDB-DIP-001,Bellame Digestive Biscuit 135g,check MRP,in_stock,,,https://luckystore1947.vercel.app/product/BDB-DIP-001,https://luckystore1947.vercel.app/product/BDB-DIP-001,,35.0,35 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Digestive Biscuit-Diploma-01,,35.0,30.5,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000013,bellame digestive biscuit 135g diploma biscuits & cookies,100.0,72.34042553191489
BPB-DIP-001,Bellame Peanut Bite Cookies 240g,Bellame Peanut Bite Cookies 240g,in_stock,,,https://luckystore1947.vercel.app/product/BPB-DIP-001,https://luckystore1947.vercel.app/product/BPB-DIP-001,,70.0,70 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Bellame Peanut Bite-Diploma-01,,70.0,58.0,Biscuits & Cookies,DIPLOMA - NEXT ASSOCIATES,,LS-000014,bellame peanut bite cookies 240g diploma biscuits & cookies,100.0,83.78378378378378
DNC-DIP-001,Detos Nacho Cheese Chips 30g,Detos Nacho Cheese Chips 30g,in_stock,,,https://luckystore1947.vercel.app/product/DNC-DIP-001,https://luckystore1947.vercel.app/product/DNC-DIP-001,,20.0,20 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Detos Nacho Cheese-Diploma-01,,20.0,16.13,Snacks,DIPLOMA - NEXT ASSOCIATES,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa975c115075f231ecd404_Detos-Nacho-Cheese-Chips-30gm_1_415.webp,LS-000015,detos nacho cheese chips 30g diploma snacks,100.0,98.24561403508773
DSC-DIP-001,Detos Sweet Chilli Chips 30g,Detos Sweet Chilli Chips 30g,in_stock,,,https://luckystore1947.vercel.app/product/DSC-DIP-001,https://luckystore1947.vercel.app/product/DSC-DIP-001,,20.0,20 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Detos Sweet Chilli-Diploma-01,,20.0,16.13,Snacks,DIPLOMA - NEXT ASSOCIATES,,LS-000016,detos sweet chilli chips 30g diploma snacks,100.0,70.17543859649123
DIK-DIP-001,Diploma IFCMP 1kg,Diploma IFCMP 1kg,in_stock,,,https://luckystore1947.vercel.app/product/DIK-DIP-001,https://luckystore1947.vercel.app/product/DIK-DIP-001,,950.0,950 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Diploma IFCMP kg-Diploma-01,,950.0,893.0,Dairy & Eggs,DIPLOMA - NEXT ASSOCIATES,,LS-000017,diploma ifcmp 1kg diploma dairy & eggs,100.0,78.57142857142857
DII-DIP-001,Diploma IFCMP 200g,Diploma IFCMP 200g,in_stock,,,https://luckystore1947.vercel.app/product/DII-DIP-001,https://luckystore1947.vercel.app/product/DII-DIP-001,,205.0,205 BDT,,,,,Diploma,,,,new,,,,,,,,,,,,,,,,,Diploma IFCMP-Diploma-01,,205.0,190.0,Dairy & Eggs,DIPLOMA - NEXT ASSOCIATES,,LS-000018,diploma ifcmp 200g diploma dairy & eggs,100.0,56.0
