Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
aci-chinigura-50kg,RIC-ACIX-CHIN-50KG,ACI Chinigura 50KG,Rice & Grain,<p>50KG Bag</p>,Y,,,,,,,6850.00,,,,Y,,,0.00,Y,8250.00,1.000,5.000,
aer-pocket-perfume,AIR-AERX-POCK,AER Pocket Perfume,Air Freshner,Perfume,N,,,,,,,60.00,,,,Y,,,0.00,Y,75.00,36.000,5.000,
aer-room-spray,AIR-AERX-ROOM,AER Room Spray,Air Freshner,Cream,N,,,,,,,230.00,,,,Y,,,0.00,Y,300.00,6.000,5.000,
ata-loose,COO-ATAX-LOOS,Ata - loose,Cooking Needs,50KG Bag,N,,,,,,,35.00,,,,Y,,,0.00,Y,49.00,50.000,5.000,
basmati-25kg-golden,RIC-BASM-KGXX-25KG,Basmati 25KG (Golden),Rice & Grain,25KG Bag,N,,,,,,,1885.00,,,,Y,,,0.00,Y,2500.00,2.000,5.000,
bellame-butter-toast-200g,BIS-BELL-BUTT-200G,Bellame Butter Toast 200g,Biscuits & Cookies,,N,,,,,,,82.00,,,,Y,,,0.00,Y,95.00,3.000,5.000,
bellame-choco-little-cookies-240g,BIS-BELL-CHOC-240G,Bellame Choco Little Cookies 240g,Biscuits & Cookies,,N,,,,,,,92.00,,,,Y,,,0.00,Y,105.00,3.000,5.000,
bellame-chocolate-digestive-135g,BIS-BELL-CHOC-135G,Bellame Chocolate Digestive 135g,Biscuits & Cookies,,N,,,,,,,43.00,,,,Y,,,0.00,Y,50.00,6.000,5.000,
bellame-chocolate-fondue-cookie-176g,BIS-BELL-CHOC-176G,Bellame Chocolate Fondue Cookie 176g,Biscuits & Cookies,,N,,,,,,,120.00,,,,Y,,,0.00,Y,150.00,3.000,5.000,
bellame-digestive-biscuit-135g,BIS-BELL-DIGE-135G,Bellame Digestive Biscuit 135g,Biscuits & Cookies,,N,,,,,,,30.50,,,,Y,,,0.00,Y,50.00,6.000,5.000,
