sku,barcode,name,category,cost,mrp,price,stock,store_id
LS-000001,2000000000015,Dano Daily Pusti 100g,Dairy & Eggs,82.0,95,95.0,6,
LS-000002,2000000000022,Dano Daily Pusti 200g,Dairy & Eggs,150.0,180,180.0,5,
LS-000003,2000000000039,Dano Daily Pusti 500g,Dairy & Eggs,360.0,400,400.0,4,
LS-000004,2000000000046,Dano Daily Pusti 50g,Dairy & Eggs,40.0,50,50.0,6,
LS-000005,2000000000053,Dano Delight 200g,Dairy & Eggs,185.0,205,205.0,5,
LS-000006,2000000000060,Dano Delight 500g,Dairy & Eggs,451.0,480,480.0,4,
LS-000007,2000000000077,Dano Power 200g,Dairy & Eggs,190.0,205,205.0,5,
LS-000008,2000000000084,Dano Power 500g,Dairy & Eggs,447.0,480,480.0,4,
LS-000009,2000000000091,Bellame Butter Toast 200g,Biscuits & Cookies,82.0,100,100.0,3,
LS-000010,2000000000107,Bellame Choco Little Cookies 240g,Biscuits & Cookies,92.0,110,110.0,3,
LS-000011,2000000000114,Bellame Chocolate Digestive 135g,Biscuits & Cookies,43.0,50,50.0,6,
LS-000012,2000000000121,Bellame Chocolate Fondue Cookie 176g,Biscuits & Cookies,120.0,150,150.0,3,
LS-000013,2000000000138,check MRP,Biscuits & Cookies,30.5,35.0,35.0,0,
LS-000014,2000000000145,Bellame Peanut Bite Cookies 240g,Biscuits & Cookies,58.0,70,70.0,3,
LS-000015,2000000000152,Detos Nacho Cheese Chips 30g,Snacks,16.13,20,20.0,24,
LS-000016,2000000000169,Detos Sweet Chilli Chips 30g,Snacks,16.13,20,20.0,24,
LS-000017,2000000000176,Diploma IFCMP 1kg,Dairy & Eggs,893.0,950,950.0,6,
LS-000018,2000000000183,Diploma IFCMP 200g,Dairy & Eggs,190.0,205,205.0,6,
LS-000019,2000000000190,Diploma IFCMP 500g,Dairy & Eggs,449.0,480,480.0,6,
LS-000020,2000000000206,Check physicall if given,Snacks,146.0,160.0,160.0,0,
LS-000021,2000000000213,Doodles Instant Noodles Masala flavor 62g pack of 24. Quick and tasty meal.,Snacks,76.0,90.0,90.0,3,
LS-000022,2000000000220,Doodles Instant Noodles Masala 62g (8 Pack),Snacks,223.0,250,250.0,3,
LS-000023,2000000000237,Doodles Instant Noodles Ramen 62g (4 Pack),Snacks,90.0,110,110.0,12,
LS-000024,2000000000244,Doodles Instant Noodles Ramen 62g (8 Pack),Snacks,182.0,210,210.0,6,
LS-000025,2000000000251,Doodles Stick Noodles Chicken Delight 300g,Snacks,43.0,50,50.0,6,
LS-000026,2000000000268,Poppers Corn Coconut Crackers 25g,Snacks,16.13,20,20.0,24,
LS-000027,2000000000275,Perfume,Air Freshner,60.0,75.0,75.0,36,
LS-000028,2000000000282,Hair Color,Personal Care,25.0,30.0,30.0,24,
LS-000029,2000000000299,Hair Color,Personal Care,42.0,50.0,50.0,24,
LS-000030,2000000000305,Aerosol 200ml,Pest Control,200.0,225.0,225.0,4,
LS-000031,2000000000312,Aerosol 475ml,Pest Control,330.0,375.0,375.0,24,
LS-000032,2000000000329,Mosquito Killer,Pest Control,156.0,180.0,180.0,0,
LS-000033,2000000000336,Mosquito Killer,Pest Control,80.0,95.0,95.0,0,
LS-000034,2000000000343,Handwash Refill,Personal Care,25.0,30.0,30.0,40,
LS-000035,2000000000350,Hair Color Powder,Personal Care,10.83,18.0,18.0,36,
LS-000036,2000000000367,Aerosol 200ml,Pest Control,175.0,200.0,200.0,4,
LS-000037,2000000000374,Aerosol 400ml,Pest Control,310.0,360.0,360.0,12,
LS-000038,2000000000381,Soap,Personal Care,200.0,230.0,230.0,54,
LS-000039,2000000000398,45ml,Pest Control,107.0,130.0,130.0,6,
LS-000040,853764007422,Pepsodent Advanced Salt Toothpaste 70g. Helps strengthen teeth and provides advanced salt benefits.,Personal Care,78.67,90.0,90.0,6,
LS-000041,2000000000411,Dry Cake (300g),Biscuits & Cookies,125.0,145,145.0,2,
LS-000042,2000000000428,Kazi Toast 250g,Biscuits & Cookies,50.0,60,60.0,6,
LS-000043,2000000000435,Mini Dry Cake,Biscuits & Cookies,8.0,10,10.0,48,
LS-000044,2000000000442,Muffin Bread Chocolate 324g,Biscuits & Cookies,150.0,180,180.0,4,
LS-000045,2000000000459,Muffin Bread Vanilla 324g,Biscuits & Cookies,150.0,180,180.0,4,
LS-000046,2000000000466,Muffin Lata Chocolate 8g,Biscuits & Cookies,8.0,10,10.0,48,
LS-000047,2000000000473,Muffin Lata Fruit 8g,Biscuits & Cookies,8.0,10,10.0,24,
LS-000048,2000000000480,Muffin Lata Vanilla 8g,Biscuits & Cookies,8.0,10,10.0,48,
LS-000049,2000000000497,Pound Cake Chocolate,Biscuits & Cookies,100.0,120,120.0,5,
LS-000050,2000000000503,Pound Cake Fruit,Biscuits & Cookies,108.0,130,130.0,5,
LS-000051,2000000000510,Pound Cake Vanilla,Biscuits & Cookies,100.0,120,120.0,5,
LS-000052,2000000000527,Slice Pound Cake Chocolate,Biscuits & Cookies,29.0,35,35.0,15,
LS-000053,2000000000534,Slice Pound Cake Milk,Biscuits & Cookies,4.0,5,5.0,72,
LS-000054,2000000000541,Slice Pound Cake Vanilla,Biscuits & Cookies,25.0,30,30.0,15,
LS-000055,2000000000558,Tomato Ketchup Small,Condiments,76.0,100,100.0,2,
LS-000056,2000000000565,Kellogs Almond Corn Flakes 300g,Cereals,530.0,580,580.0,2,
LS-000057,2000000000572,Kellogs Chocos 127g,Cereals,160.0,180,180.0,4,
LS-000058,2000000000589,Kellogs Chocos 250g,Cereals,360.0,390,390.0,3,
LS-000059,2000000000596,Kellogs Chocos Fills Centred Pillow 250g,Cereals,530.0,570,570.0,2,
LS-000060,2000000000602,Kellogs Corn Flakes Real Honey 300g,Cereals,530.0,580,580.0,2,
LS-000061,2000000000619,Kellogs Fruit Loops 285g,Cereals,530.0,570,570.0,2,
LS-000062,2000000000626,Kellogs K-Park 26g. Crispy and tasty cereal snack.,Cereals,17.5,20.0,20.0,48,
LS-000063,2000000000633,Kellogs Muesli Crunchy Fruit & Nut 500g,Cereals,920.0,1000,1000.0,2,
LS-000064,2000000000640,Kellogs Oats 400g,Cereals,320.0,360,360.0,6,
LS-000065,2000000000657,Kellogs Oats 900g,Cereals,675.0,750,750.0,4,
LS-000066,2000000000664,Aarong Liquid Milk 1ltr,Dairy & Eggs,91.0,100,100.0,10,
LS-000067,2000000000671,Aarong Standardized Milk 500ml,Dairy & Eggs,45.0,50,50.0,20,
LS-000068,2000000000688,ABC Cup Hot Gulai Chicken Flavour - 60g,Snacks,125.0,190,190.0,1,
LS-000069,2000000000695,14gm,Tea & Coffee,8.5,10.0,10.0,24,
LS-000070,2000000000701,1gm,Chocolates & Candies,76.0,90.0,90.0,40,
LS-000071,2000000000718,Aril Chewing Gum Box 75pcs,Chocolates & Candies,1.46,2,2.0,75,
LS-000072,2000000000725,Avonee Pant Style Baby Diaper (9-14Kg) - L 48pcs,Baby Care,845.0,1100,1100.0,1,
LS-000073,2000000000732,Awei Data Cable Micro USB (CL-115M),Electronics,100.0,180,180.0,2,
LS-000074,2000000000749,Axe Apollo Deodorant Body Spray. Fresh and masculine scent.,Personal Care,370.0,450.0,450.0,1,
LS-000075,2000000000756,Axe Black Deodorant Body Spray 150ml. Long lasting fragrance.,Personal Care,370.0,450.0,450.0,1,
LS-000076,2000000000763,Axe Musk Deodorant Body Spray - 150ml,Personal Care,350.0,450,450.0,1,
LS-000077,2000000000770,Baby Oats Health Paradise,Baby Care,250.0,750,750.0,4,
LS-000078,2000000000787,Bashundhara Facial tissue box 100pcs,Personal Care,58.0,75,75.0,12,
LS-000079,2000000000794,Bashundhara Facial tissue box 120pcs,Cleaning Supply,65.0,85,85.0,12,
LS-000080,2000000000800,Bashundhara Facial tissue box 150pcs,Cleaning Supply,80.0,100,100.0,12,
LS-000081,2000000000817,Bashundhara Hand Towel 250 Box,Personal Care,85.0,110,110.0,12,
